,fut_close,direction,dt_open,remain_close,remain_open,basis_close,basis_open,fut_slope,spot_open,spot_close,basis_rtn,count,spot_slope,fut_rtn,slope_diff,dt_close,cmd,fut_open
1,11495.0,-1,2014-04-08,16.0,38.0,-170.0,-62.0,34.440601503759396,11150.0,11325.0,-108.0,1,25.75187969924812,-283.0,-8.688721804511275,2014-04-30,PP,11212.0
2,11601.0,1,2014-08-06,17.0,40.0,-176.0,127.0,9.338345864661655,11425.0,11425.0,303.0,2,-1.1654135338345866,303.0,-10.503759398496241,2014-08-29,PP,11298.0
3,9718.0,1,2014-12-08,16.0,39.0,-418.0,550.0,-42.341353383458646,9525.0,9300.0,968.0,3,-46.50375939849624,743.0,-4.162406015037597,2014-12-31,PP,8975.0
4,9675.0,-1,2015-04-07,15.0,38.0,-75.0,-176.0,55.01278195488722,8950.0,9600.0,101.0,4,47.31203007518797,-549.0,-7.700751879699247,2015-04-30,PP,9126.0
5,7841.0,-1,2015-08-07,16.0,40.0,59.0,-88.0,-17.644360902255638,8050.0,7900.0,147.0,5,-22.593984962406015,297.0,-4.949624060150377,2015-08-31,PP,8138.0
6,6389.0,1,2015-12-07,15.0,39.0,11.0,64.0,5.09624060150376,6500.0,6400.0,53.0,6,3.6766917293233083,-47.0,-1.4195488721804512,2015-12-31,PP,6436.0
7,6820.0,-1,2016-04-06,17.0,40.0,-20.0,-72.0,29.007518796992482,7400.0,6800.0,52.0,7,32.954887218045116,652.0,3.9473684210526336,2016-04-29,PP,7472.0
8,8355.0,-1,2016-08-05,14.0,40.0,-255.0,-120.0,8.322556390977443,8200.0,8100.0,-135.0,8,1.8646616541353382,-35.0,-6.457894736842105,2016-08-31,PP,8320.0
9,8740.0,-1,2016-12-07,17.0,40.0,60.0,-164.0,-4.496240601503759,9000.0,8800.0,224.0,9,-3.601503759398496,424.0,0.8947368421052628,2016-12-30,PP,9164.0
10,7830.0,-1,2017-04-05,17.0,40.0,-80.0,-211.0,-14.699248120300751,8100.0,7750.0,131.0,10,-12.150375939849624,481.0,2.548872180451127,2017-04-28,PP,8311.0
11,9083.0,-1,2017-08-07,14.0,38.0,-183.0,-52.0,14.200751879699249,8250.0,8900.0,-131.0,11,17.36842105263158,-781.0,3.16766917293233,2017-08-31,PP,8302.0
12,9136.0,-1,2017-12-06,17.0,40.0,64.0,-56.0,-2.9714285714285715,9080.0,9200.0,120.0,12,4.857142857142857,-0.0,7.828571428571428,2017-12-29,PP,9136.0
13,8815.0,-1,2018-04-09,18.0,36.0,15.0,-198.0,-6.997744360902256,8750.0,8830.0,213.0,13,-6.12406015037594,133.0,0.8736842105263154,2018-04-27,PP,8948.0
14,9813.0,-1,2018-08-06,14.0,39.0,-33.0,-153.0,33.57368421052632,9900.0,9780.0,120.0,14,32.755639097744364,240.0,-0.8180451127819524,2018-08-31,PP,10053.0
1,1800.0,1,2015-08-07,16.0,40.0,130.0,24.0,-18.985714285714284,2040.0,1930.0,-106.0,1,-19.42406015037594,-216.0,-0.43834586466165604,2015-08-31,MA,2016.0
2,1711.0,-1,2015-12-07,15.0,39.0,39.0,-2.0,-5.291729323308271,1830.0,1750.0,41.0,2,-7.80827067669173,121.0,-2.5165413533834586,2015-12-31,MA,1832.0
3,1921.0,1,2016-04-06,17.0,40.0,9.0,20.0,-4.681954887218045,1870.0,1930.0,11.0,3,-1.9248120300751879,71.0,2.757142857142857,2016-04-29,MA,1850.0
4,1831.0,-1,2016-08-05,14.0,40.0,9.0,-53.0,-2.037593984962406,1850.0,1840.0,62.0,4,-2.287218045112782,72.0,-0.24962406015037608,2016-08-31,MA,1903.0
5,2900.0,1,2016-12-07,17.0,40.0,175.0,101.0,17.302255639097744,2933.0,3075.0,-74.0,5,20.17781954887218,68.0,2.875563909774435,2016-12-30,MA,2832.0
6,2487.0,1,2017-04-05,17.0,40.0,13.0,41.0,-13.749624060150376,2690.0,2500.0,28.0,6,-20.56203007518797,-162.0,-6.812406015037594,2017-04-28,MA,2649.0
7,2781.0,-1,2017-08-07,14.0,38.0,-1.0,-11.0,-4.272180451127819,2460.0,2780.0,10.0,7,-5.2406015037593985,-310.0,-0.9684210526315793,2017-08-31,MA,2471.0
8,3266.0,1,2017-12-06,17.0,40.0,54.0,344.0,12.809022556390978,3550.0,3320.0,290.0,8,29.214285714285715,60.0,16.405263157894737,2017-12-29,MA,3206.0
9,2965.0,1,2018-04-09,18.0,36.0,235.0,158.0,-2.7097744360902256,2900.0,3200.0,-77.0,9,3.6503759398496243,223.0,6.36015037593985,2018-04-27,MA,2742.0
10,3158.0,1,2018-08-06,14.0,39.0,172.0,95.0,10.849624060150376,3320.0,3330.0,-77.0,10,3.593984962406015,-67.0,-7.2556390977443606,2018-08-31,MA,3225.0
1,940.0,1,2013-08-05,14.0,39.0,160.0,38.0,-0.6323308270676692,1050.0,1100.0,-122.0,1,-0.0,-72.0,0.6323308270676692,2013-08-30,JM,1012.0
2,957.0,1,2013-12-06,15.0,40.0,193.0,81.0,-0.08721804511278196,1160.0,1150.0,-112.0,2,-0.0,-122.0,0.08721804511278196,2013-12-31,JM,1079.0
3,750.0,1,2014-04-08,16.0,38.0,200.0,85.0,0.3827067669172932,930.0,950.0,-115.0,3,-8.203007518796992,-95.0,-8.585714285714285,2014-04-30,JM,845.0
4,747.0,1,2014-08-06,17.0,40.0,173.0,164.0,-1.7165413533834586,910.0,920.0,-9.0,4,-1.1278195488721805,1.0,0.5887218045112781,2014-08-29,JM,746.0
5,808.0,1,2014-12-08,16.0,39.0,122.0,156.0,0.6691729323308271,940.0,930.0,34.0,5,-0.7218045112781954,24.0,-1.3909774436090225,2014-12-31,JM,784.0
6,713.0,1,2015-04-07,15.0,38.0,77.0,130.0,-1.0398496240601505,830.0,790.0,53.0,6,-2.0,13.0,-0.9601503759398495,2015-04-30,JM,700.0
7,550.0,1,2015-08-07,16.0,40.0,170.0,123.5,-0.5105263157894737,740.0,720.0,-46.5,7,-2.255639097744361,-66.5,-1.7451127819548873,2015-08-31,JM,616.5
8,619.0,1,2015-12-07,15.0,39.0,41.0,52.0,1.9086466165413534,650.0,660.0,11.0,8,-0.42857142857142855,21.0,-2.337218045112782,2015-12-31,JM,598.0
9,626.5,1,2016-04-06,17.0,40.0,103.5,59.5,0.21804511278195488,670.0,730.0,-44.0,9,0.48120300751879697,16.0,0.2631578947368421,2016-04-29,JM,610.5
10,759.0,-1,2016-08-05,14.0,40.0,241.0,-9.5,2.3913533834586467,775.0,1000.0,250.5,10,1.8120300751879699,25.5,-0.5793233082706768,2016-08-31,JM,784.5
11,1620.0,1,2016-12-07,17.0,40.0,280.0,340.5,-0.3981203007518797,1900.0,1900.0,60.5,11,-0.8270676691729323,60.5,-0.4289473684210526,2016-12-30,JM,1559.5
12,1286.0,-1,2017-04-05,17.0,40.0,314.0,-26.5,-0.8078947368421052,1350.0,1600.0,340.5,12,-0.0,90.5,0.8078947368421052,2017-04-28,JM,1376.5
13,1171.0,1,2017-08-07,14.0,38.0,179.0,82.5,7.829699248120301,1330.0,1350.0,-96.5,13,7.2406015037593985,-76.5,-0.5890977443609025,2017-08-31,JM,1247.5
14,1321.0,1,2017-12-06,17.0,40.0,229.0,94.5,9.528947368421052,1400.0,1550.0,-134.5,14,3.1578947368421053,15.5,-6.371052631578947,2017-12-29,JM,1305.5
