date,BU
2017-05-12,31.0
2017-05-19,28.999999999999996
2017-05-27,27.0
2017-06-09,31.0
2017-06-16,33.0
2017-06-23,27.0
2017-06-30,28.999999999999996
2017-07-07,27.0
2017-07-14,25.0
2017-07-28,19.0
2017-08-04,17.0
2017-08-11,21.0
2017-08-18,26.0
2017-08-25,28.999999999999996
2017-09-01,31.0
2017-09-08,34.0
2017-09-15,38.0
2017-09-22,34.0
2017-09-30,25.0
2017-10-13,27.0
2017-10-20,23.0
2017-10-27,17.0
2017-11-03,16.0
2017-11-10,14.000000000000002
2017-11-17,13.0
2017-11-24,21.0
2017-12-01,21.0
2017-12-08,28.999999999999996
2017-12-15,31.0
2017-12-22,44.0
2017-12-29,48.0
2018-01-05,43.0
2018-01-12,40.0
2018-01-19,37.0
2018-01-21,37.0
2018-01-26,31.0
2018-02-02,28.999999999999996
2018-02-23,31.0
2018-03-02,28.999999999999996
2018-03-09,28.999999999999996
2018-03-16,26.0
2018-03-23,24.0
2018-03-30,22.0
2018-04-06,21.0
2018-04-13,22.0
2018-04-20,24.0
2018-04-28,26.0
2018-05-04,32.0
2018-05-18,34.0
2018-05-25,23.0
2018-06-01,31.0
2018-06-08,30.0
2018-06-15,30.0
2018-06-22,35.0
2018-06-29,37.0
2018-07-06,34.0
2018-07-13,32.0
2018-07-20,35.0
2018-07-27,37.0
2018-08-03,34.0
2018-08-10,35.0
2018-08-17,36.0
2018-08-24,37.0
2018-08-31,33.0
2018-09-07,30.0
2018-09-14,23.0
2018-09-21,24.0
2018-09-28,25.0
2018-10-12,21.0
2018-10-19,22.0
2018-10-26,23.0
2018-11-02,22.0
2018-11-09,27.0
2018-11-16,22.0
2018-11-23,22.0
2018-11-30,27.0
2018-12-07,30.0
2018-12-14,33.0
2018-12-21,34.0
2018-12-28,35.0
2019-01-04,37.0
2019-01-11,35.0
2019-01-18,30.0
2019-01-25,28.999999999999996
2019-02-01,27.0
2019-02-08,36.0
2019-02-15,38.0
2019-02-22,32.0
2019-03-01,27.0
2019-03-08,25.0
2019-03-15,24.0
2019-03-22,25.0
2019-03-29,25.0
2019-04-05,26.0
2019-04-12,31.0
2019-04-19,39.0
2019-04-26,43.0
2019-05-03,39.0
