date,LL
2013-10-18,10.0
2013-10-25,10.0
2013-11-01,9.0
2013-11-08,9.0
2013-11-15,7.5
2013-11-22,7.5
2013-11-29,7.5
2013-12-06,7.0
2013-12-13,7.0
2013-12-20,7.3
2013-12-27,7.3
2014-01-03,6.8
2014-01-10,6.8
2014-01-17,8.3
2014-01-24,8.3
2014-01-31,9.5
2014-02-07,9.5
2014-02-14,9.5
2014-02-21,13.0
2014-02-28,14.5
2014-03-07,14.5
2014-03-14,14.5
2014-03-21,13.0
2014-03-28,13.0
2014-04-04,12.5
2014-04-11,12.5
2014-04-18,11.5
2014-04-25,11.5
2014-05-02,11.6
2014-05-09,11.6
2014-05-16,11.0
2014-05-23,11.0
2014-05-30,10.5
2014-06-06,10.5
2014-06-13,10.5
2014-06-20,10.5
2014-06-27,10.5
2014-07-04,10.5
2014-07-11,10.5
2014-07-18,12.5
2014-07-25,12.5
2014-08-01,15.0
2014-08-08,15.0
2014-08-15,15.0
2014-08-22,16.0
2014-08-29,16.0
2014-09-05,16.5
2014-09-12,16.5
2014-09-19,18.5
2014-09-26,18.5
2014-10-03,19.0
2014-10-10,19.0
2014-10-17,17.0
2014-10-24,17.0
2014-10-31,14.0
2014-11-07,14.0
2014-11-14,14.0
2014-11-21,13.8
2014-11-28,13.8
2014-12-05,10.8
2014-12-12,10.8
2014-12-19,9.0
2014-12-26,9.0
2015-01-02,8.5
2015-01-09,8.5
2015-01-16,8.0
2015-01-23,8.0
2015-01-30,8.0
2015-02-06,7.8
2015-02-13,7.8
2015-02-20,6.5
2015-02-27,6.5
2015-03-06,11.0
2015-03-13,11.0
2015-03-20,12.0
2015-03-27,12.0
2015-04-03,13.5
2015-04-10,13.5
2015-04-17,12.5
2015-04-24,12.5
2015-05-01,9.8
2015-05-08,9.8
2015-05-15,9.8
2015-05-22,11.0
2015-05-29,11.0
2015-06-05,9.5
2015-06-12,9.5
2015-06-19,11.5
2015-06-26,11.5
2015-07-03,12.0
2015-07-10,12.0
2015-07-17,12.5
2015-07-24,12.5
2015-07-31,13.0
2015-08-07,13.0
2015-08-14,13.0
2015-08-21,12.0
2015-08-28,12.0
2015-09-04,11.8
2015-09-11,11.8
2015-09-18,12.0
2015-09-25,12.0
2015-10-02,11.0
2015-10-09,11.0
2015-10-16,11.5
2015-10-23,11.5
2015-10-30,10.8
2015-11-06,10.8
2015-11-13,10.8
2015-11-20,10.0
2015-11-27,10.0
2015-12-04,6.8
2015-12-11,6.8
2015-12-18,5.8
2015-12-25,5.8
2016-01-01,4.8
2016-01-08,4.8
2016-01-15,6.0
2016-01-22,6.0
2016-01-29,6.0
2016-02-05,6.5
2016-02-12,6.5
2016-02-19,9.035
2016-02-26,9.035
2016-03-04,7.5894
2016-03-11,10.6858752
2016-03-18,11.71171922
2016-03-25,10.91532231
2016-04-01,11.67939487
2016-04-08,11.23557787
2016-04-15,10.94345284
2016-04-22,10.99817011
2016-04-29,10.448261599999999
2016-05-06,10.45870986
2016-05-13,8.984031774
2016-05-20,8.373117613
2016-05-27,8.31450579
2016-06-03,8.439223377000001
2016-06-10,7.991944537999999
2016-06-17,7.264677585
2016-06-24,7.925763245
2016-07-01,9.423732498
2016-07-08,11.03519076
2016-07-15,12.01732273
2016-07-22,14.45683925
2016-07-29,13.91470778
2016-08-05,13.96062631
2016-08-12,14.30964197
2016-08-19,14.72319062
2016-08-26,15.02648835
2016-09-02,13.50881303
2016-09-09,13.38588283
2016-09-16,13.69375813
2016-09-23,12.46816678
2016-09-30,11.78989851
2016-10-07,12.8132617
2016-10-14,10.5709409
2016-10-21,8.657600597
2016-10-28,7.445536514
2016-11-04,8.473020552000001
2016-11-11,8.508607239
2016-11-18,7.6407293
2016-11-25,7.061562019
2016-12-02,7.051675832999999
2016-12-09,7.304830995
2016-12-16,7.85269332
2016-12-23,7.109828532000001
2016-12-30,7.215053994
2017-01-06,7.756183042999999
2017-01-13,8.392190053
2017-01-20,10.99376897
2017-02-03,17.6449992
2017-02-10,19.38303162
2017-02-17,19.96452256
2017-02-24,22.517985
2017-03-03,23.71143821
2017-03-10,23.59288102
2017-03-17,23.59288102
2017-03-24,22.41323696
2017-03-31,22.41323696
2017-04-07,21.96497223
2017-04-14,20.64707389
2017-04-21,20.85354463
2017-04-28,20.22793829
2017-05-05,18.81198261
2017-05-12,19.37634209
2017-05-19,19.27946038
