date,PP
2013-10-04,11.0
2013-10-11,11.0
2013-10-18,11.8
2013-10-25,11.8
2013-11-01,10.0
2013-11-08,10.0
2013-11-15,9.0
2013-11-22,9.0
2013-11-29,9.0
2013-12-06,9.5
2013-12-13,9.5
2013-12-20,8.5
2013-12-27,8.5
2014-01-03,9.0
2014-01-10,9.0
2014-01-17,8.0
2014-01-24,8.0
2014-01-31,12.0
2014-02-07,12.0
2014-02-14,12.0
2014-02-21,15.8
2014-02-28,17.8
2014-03-07,17.8
2014-03-14,17.8
2014-03-21,16.2
2014-03-28,16.2
2014-04-04,16.1
2014-04-11,16.1
2014-04-18,15.8
2014-04-25,15.8
2014-05-02,13.8
2014-05-09,13.8
2014-05-16,13.0
2014-05-23,13.0
2014-05-30,12.0
2014-06-06,12.0
2014-06-13,12.0
2014-06-20,11.8
2014-06-27,11.8
2014-07-04,11.7
2014-07-11,11.7
2014-07-18,10.0
2014-07-25,10.0
2014-08-01,11.8
2014-08-08,11.8
2014-08-15,11.8
2014-08-22,11.0
2014-08-29,11.0
2014-09-05,9.8
2014-09-12,9.8
2014-09-19,10.4
2014-09-26,10.4
2014-10-03,9.5
2014-10-10,9.5
2014-10-17,10.0
2014-10-24,10.0
2014-10-31,10.0
2014-11-07,10.0
2014-11-14,10.0
2014-11-21,9.0
2014-11-28,9.0
2014-12-05,8.5
2014-12-12,8.5
2014-12-19,8.5
2014-12-26,8.5
2015-01-02,9.0
2015-01-09,9.0
2015-01-16,10.0
2015-01-23,10.0
2015-01-30,10.0
2015-02-06,9.0
2015-02-13,9.0
2015-02-20,9.5
2015-02-27,9.5
2015-03-06,12.3
2015-03-13,12.3
2015-03-20,13.0
2015-03-27,13.0
2015-04-03,13.3
2015-04-10,13.3
2015-04-17,14.0
2015-04-24,14.0
2015-05-01,15.0
2015-05-08,15.0
2015-05-15,15.0
2015-05-22,16.5
2015-05-29,16.5
2015-06-05,15.0
2015-06-12,15.0
2015-06-19,15.0
2015-06-26,15.0
2015-07-03,16.3
2015-07-10,16.3
2015-07-17,16.3
2015-07-24,16.3
2015-07-31,14.2
2015-08-07,14.2
2015-08-14,14.2
2015-08-21,13.8
2015-08-28,13.8
2015-09-04,14.8
2015-09-11,14.8
2015-09-18,15.0
2015-09-25,15.0
2015-10-02,14.0
2015-10-09,14.0
2015-10-16,16.0
2015-10-23,16.0
2015-10-30,16.5
2015-11-06,16.5
2015-11-13,16.5
2015-11-20,15.8
2015-11-27,15.8
2015-12-04,15.0
2015-12-11,15.0
2015-12-18,13.5
2015-12-25,13.5
2016-01-01,13.0
2016-01-08,13.0
2016-01-15,12.5
2016-01-22,12.5
2016-01-29,12.5
2016-02-05,13.0
2016-02-12,13.0
2016-02-19,14.767999999999999
2016-02-26,14.767999999999999
2016-03-04,15.211039999999999
2016-03-11,16.24539072
2016-03-18,15.25442189
2016-03-25,14.38491984
2016-04-01,14.45684444
2016-04-08,13.893027499999999
2016-04-15,13.28173429
2016-04-22,15.32712138
2016-04-29,14.83665349
2016-05-06,15.48946625
2016-05-13,15.25712425
2016-05-20,14.90621039
2016-05-27,12.49140431
2016-06-03,13.55317368
2016-06-10,12.61800469
2016-06-17,12.60538669
2016-06-24,11.88687965
2016-07-01,11.95820092
2016-07-08,12.44848716
2016-07-15,13.61864496
2016-07-22,14.80346707
2016-07-29,15.87079704
2016-08-05,19.56869275
2016-08-12,20.15379667
2016-08-19,21.25217859
2016-08-26,20.85263763
2016-09-02,20.3938796
2016-09-09,22.61681248
2016-09-16,24.14118564
2016-09-23,23.34935475
2016-09-30,21.25491763
2016-10-07,22.35379687
2016-10-14,17.26160194
2016-10-21,17.86057953
2016-10-28,16.15132207
2016-11-04,13.80938037
2016-11-11,12.96424629
2016-11-18,11.96081363
2016-11-25,11.94885281
2016-12-02,11.5031606
2016-12-09,10.48398057
2016-12-16,11.16439091
2016-12-23,11.40330888
2016-12-30,9.453343061
2017-01-06,9.562056506000001
2017-01-13,8.988333116
2017-01-20,10.57027974
2017-02-03,20.33721823
2017-02-10,23.7640395
2017-02-17,22.88714644
