date,MEG
2012/3/16,71.5
2012/3/23,70.8
2012/3/30,73.7
2012/4/6,72.5
2012/4/13,72.3
2012/4/20,71.3
2012/4/27,71.3
2012/5/4,72.1
2012/5/11,68.9
2012/5/18,71.6
2012/5/25,70.8
2012/6/1,70.3
2012/6/8,70.3
2012/6/15,68.5
2012/6/22,68.3
2012/6/29,68.3
2012/7/6,66.5
2012/7/13,65.5
2012/7/20,64.5
2012/7/27,63.5
2012/8/3,63.5
2012/8/10,62.2
2012/8/17,61.7
2012/8/24,60.2
2012/8/31,59.7
2012/9/7,60.3
2012/9/14,59.3
2012/9/21,59.3
2012/9/28,59.3
2012/10/5,59.3
2012/10/12,58.2
2012/10/19,60.7
2012/10/26,60.7
2012/11/2,63.8
2012/11/9,65.9
2012/11/16,68.8
2012/11/23,67.9
2012/11/30,66
2012/12/7,66.7
2012/12/14,68.2
2012/12/21,69.1
2012/12/28,69.8
2013/1/4,68.9
2013/1/11,69.1
2013/1/18,68.3
2013/1/25,69.1
2013/2/1,71
2013/2/8,71
2013/2/15,79.3
2013/2/22,79.3
2013/3/1,78.5
2013/3/8,79
2013/3/15,81.2
2013/3/22,83.5
2013/3/29,83.4
2013/4/5,82.6
2013/4/12,80.7
2013/4/19,83.5
2013/4/26,82.9
2013/5/3,81
2013/5/10,92
2013/5/17,96.6
2013/5/24,94
2013/5/31,95.1
2013/6/7,91.5
2013/6/14,90.7
2013/6/21,92
2013/6/28,89.9
2013/7/5,86.5
2013/7/12,85.3
2013/7/19,82.1
2013/7/26,80.3
2013/8/2,84.9
2013/8/9,80.9
2013/8/16,79.1
2013/8/23,81.6
2013/8/30,81.4
2013/9/6,82.6
2013/9/13,82
2013/9/20,78.4
2013/9/27,74.3
2013/10/4,74.4
2013/10/11,74.7
2013/10/18,76
2013/10/25,82.3
2013/11/1,77.5
2013/11/8,79
2013/11/15,80.2
2013/11/22,78
2013/11/29,81.5
2013/12/6,76.7
2013/12/13,78.6
2013/12/20,79.6
2013/12/27,84.8
2014/1/3,88.5
2014/1/10,91.4
2014/1/17,94.4
2014/1/24,98.2
2014/1/31,98.2
2014/2/7,98.2
2014/2/14,113.7
2014/2/21,115
2014/2/28,117.6
2014/3/7,115.3
2014/3/14,113.6
2014/3/21,112.2
2014/3/28,109.6
2014/4/4,110
2014/4/11,105.9
2014/4/18,103.5
2014/4/25,107.4
2014/5/4,107.4
2014/5/9,104.2
2014/5/16,106.4
2014/5/23,100.5
2014/5/30,94.3
2014/6/6,94.5
2014/6/13,97.6
2014/6/20,97.4
2014/6/27,97.2
2014/7/4,93
2014/7/11,93.8
2014/7/18,95.7
2014/7/25,98
2014/8/1,99
2014/8/8,92
2014/8/15,97
2014/8/22,96.4
2014/8/29,96.2
2014/9/5,91.9
2014/9/12,91.5
2014/9/19,88.2
2014/9/26,86.2
2014/10/3,86.7
2014/10/10,87.3
2014/10/17,85
2014/10/24,82.9
2014/10/31,82.2
2014/11/7,81.8
2014/11/14,78.9
2014/11/21,75.7
2014/11/28,71.4
2014/12/5,66
2014/12/12,70.2
2014/12/19,61.6
2014/12/26,59.8
2015/1/4,64
2015/1/9,64.3
2015/1/16,59.6
2015/1/23,57
2015/1/30,63.1
2015/2/6,64.7
2015/2/13,63.4
2015/2/20,64.1
2015/2/27,65
