date,PTA
2017/4/28,449.52
2017/5/12,421.2225
2017/5/19,415.6825
2017/5/27,406.115
2017/6/9,384.365
2017/6/16,373.1025
2017/6/23,357.7675
2017/6/30,345.3325
2017/7/7,316.17
2017/7/14,280.4275
2017/7/28,260.695
2017/8/4,237.69
2017/8/11,232.315
2017/8/18,192.505
2017/8/25,156.785
2017/9/1,143.0125
2017/9/8,126.2175
2017/9/15,119.87
2017/9/22,85.0775
2017/9/30,93.5975
2017/10/13,100.34
2017/10/20,97.32
2017/10/27,96.235
2017/11/3,69.7075
2017/11/10,67.9235
2017/11/17,68.447
2017/11/24,65.14
2017/12/1,61.1135
2017/12/8,54.807
2017/12/15,49.81
2017/12/22,50.0025
2017/12/29,54.2965
2018/1/5,53.5965
2018/1/12,52.3515
2018/1/19,51.5015
2018/1/21,53.7545
2018/1/26,57.5095
2018/2/2,59.9085
2018/2/23,68.5275
2018/3/2,75.5105
2018/3/9,78.099
2018/3/16,78.596
2018/3/23,105.2594
2018/3/30,111.132
2018/4/6,111.132
2018/4/13,130.6698
2018/4/20,129.012
2018/4/28,125.1944444
2018/5/4,123.096
2018/5/18,122.1355
2018/5/25,118.1033
2018/6/1,106.8072
2018/6/8,99.109
2018/6/15,96.059
2018/6/22,94.4265
2018/6/29,92.587
2018/7/6,90.8995
2018/7/13,87.321
2018/7/20,82.1085
2018/7/27,80.973
2018/8/3,80.579
2018/8/10,71.802
2018/8/17,66.3555
2018/8/24,64.1155
2018/8/31,65.1475
2018/9/7,71.803
2018/9/14,69.6715
2018/9/21,71.044
2018/9/28,75.9635
2018/10/12,105.7395
2018/10/19,104.0748
2018/10/26,105.976
2018/11/2,103.0815
2018/11/9,101.0152
2018/11/16,97.2833
2018/11/23,95.7262
2018/11/30,94.6817
2018/12/7,87.9302
2018/12/14,85.9021
2018/12/21,86.9156
2018/12/28,92.0975
2019/1/4,90.6506
2019/1/11,100.7477
2019/1/18,97.6795
2019/1/25,105.1318
