date,MOPJ
2007/7/23,705
2007/7/24,695
2007/7/25,674.5
2007/7/26,697.5
2007/7/27,680.5
2007/7/30,677.75
2007/7/31,668.5
2007/8/1,686
2007/8/2,669
2007/8/3,677.25
2007/8/6,671
2007/8/7,659
2007/8/8,657.25
2007/8/9,657.25
2007/8/10,653.5
2007/8/13,661.5
2007/8/14,660
2007/8/15,666.5
2007/8/16,672.75
2007/8/17,673.5
2007/8/20,671
2007/8/21,657.5
2007/8/22,642.5
2007/8/23,647.5
2007/8/24,655.5
2007/8/27,668
2007/8/28,671.5
2007/8/29,665.75
2007/8/30,683.5
2007/8/31,683.5
2007/9/25,719
2007/9/26,719
2007/9/27,719
2007/9/28,698.37
2007/11/13,808.99
2007/11/14,832.39
2007/11/15,783.2
2007/11/16,808.21
2007/11/19,814.9
2007/11/20,831.17
2007/11/21,829.47
2007/11/23,844.69
2007/11/26,875.35
2007/11/27,861.58
2007/11/28,824.59
2007/11/29,819.73
2007/11/30,806
2007/12/3,806.3
2007/12/4,810.25
2007/12/5,799.63
2007/12/6,808.27
2007/12/7,814.55
2007/12/10,817.02
2007/12/11,830.56
2007/12/12,859.31
2007/12/13,850.36
2007/12/14,847.65
2007/12/17,844.78
2007/12/18,840.45
2007/12/19,858.12
2007/12/20,851.84
2007/12/21,858.09
2007/12/24,854.33
2007/12/26,870.45
2007/12/27,866.2
2007/12/28,856.45
2007/12/31,849.21
2008/1/2,873.73
2008/1/3,880.96
2008/1/4,876.28
2008/1/7,846.11
2008/1/8,867.18
2008/1/9,857.83
2008/1/10,848.37
2008/1/11,858.43
2008/1/14,850.03
2008/1/15,843.55
2008/1/16,843.15
2008/1/17,824.31
2008/1/18,826.82
2008/1/22,838.83
2008/1/23,816.35
2008/1/24,836.79
2008/1/25,841.13
2008/1/28,864.71
2008/1/29,857.44
2008/1/30,854.4
2008/1/31,847.88
2008/2/1,820.56
2008/2/4,831.1
2008/2/5,815.04
2008/2/6,816.09
2008/2/7,821.01
2008/2/8,849.54
2008/2/11,843.55
2008/2/12,836.71
2008/2/13,842.05
2008/2/14,860.68
2008/2/15,857.62
2008/2/19,906.37
2008/2/20,902.52
2008/2/21,882.67
2008/2/22,888.44
2008/2/25,891.13
2008/2/26,907.1
2008/2/27,892.84
2008/2/28,916.71
2008/2/29,907.57
2008/3/3,916.86
2008/3/4,886.56
2008/3/5,923.67
2008/3/6,927.62
2008/3/7,899.9
2008/3/10,921.9
2008/3/11,913.68
2008/3/12,910.98
2008/3/13,911.4
2008/3/14,910.12
2008/3/17,873.28
2008/3/18,891.41
2008/3/19,850.52
2008/3/20,860.75
2008/3/24,868.2
2008/3/25,888.75
2008/3/26,906.17
2008/3/27,899.26
2008/3/28,895.74
2008/3/31,874.75
2008/4/1,869.18
2008/4/2,907.28
2008/4/3,894.02
2008/4/4,896
2008/4/7,917.31
2008/4/8,920.2
2008/4/9,925.99
2008/4/10,918.16
2008/4/11,919.18
2008/4/14,929.04
2008/4/15,949.7
2008/4/16,932.74
2008/4/17,952.39
2008/4/18,971.78
2008/4/21,974.06
2008/4/22,985.61
2008/4/23,991.69
2008/4/24,975.28
2008/4/25,1007.61
2008/4/28,994.92
2008/4/29,965.36
2008/4/30,950.94
2008/5/1,944.84
2008/5/2,976.41
2008/5/5,1006.95
2008/5/6,1008.06
2008/5/7,1012.71
2008/5/8,1010.11
2008/5/9,1013.51
2008/5/12,989.01
2008/5/13,999.74
2008/5/14,1002.89
2008/5/15,999.83
2008/5/16,1023.88
2008/5/19,1028.57
2008/5/20,1051.92
2008/5/21,1082.99
2008/5/22,1080.55
2008/5/23,1103.97
2008/5/27,1083.12
2008/5/28,1097.37
2008/5/29,1037.05
2008/5/30,1062.09
2008/6/2,1069.58
2008/6/3,1059.1
2008/6/4,1042.63
2008/6/5,1109.02
2008/6/6,1150.25
2008/6/9,1114.67
2008/6/10,1081.28
2008/6/11,1145.09
2008/6/12,1151.71
2008/6/13,1129.11
2008/6/16,1130.05
2008/6/17,1117.4
2008/6/18,1151.01
2008/6/19,1121.67
2008/6/20,1150.16
2008/6/23,1169.37
2008/6/24,1163.43
2008/6/25,1152.77
2008/6/26,1200.96
2008/6/27,1194.05
2008/6/30,1181.18
2008/7/1,1169.52
2008/7/2,1218.4
2008/7/3,1226.93
2008/7/7,1192.47
2008/7/8,1146.75
2008/7/9,1148.34
2008/7/10,1194.21
2008/7/11,1194.38
2008/7/14,1207.53
2008/7/15,1152.8
2008/7/16,1181.92
2008/7/17,1135.38
2008/7/18,1130.04
2008/7/21,1114.02
2008/7/22,1114.91
2008/7/23,1068.63
2008/7/24,1050.39
2008/7/25,1073.97
2008/7/28,1073.97
2008/7/29,1077.53
2008/7/30,1054.39
2008/7/31,1079.31
2008/8/1,1047.72
2008/8/4,1055.28
2008/8/5,1009.89
2008/8/6,1006.33
2008/8/7,1015.23
2008/8/8,999.21
2008/8/11,988.09
2008/8/12,960.05
2008/8/13,968.06
2008/8/14,968.06
2008/8/15,982.3
2008/8/18,984.08
2008/8/19,968.06
2008/8/20,1005.44
2008/8/21,1007.88
2008/8/22,1030.57
2008/8/25,1030.57
2008/8/26,993.19
2008/8/27,1018.56
2008/8/28,1019.89
2008/8/29,1003.87
2008/9/2,1011.44
2008/9/3,1011.44
2008/9/4,988.32
2008/9/5,941.44
2008/9/8,926.12
2008/9/9,889.07
2008/9/10,904.63
2008/9/11,878.09
2008/9/12,905.25
2008/9/15,870.24
2008/9/16,806.63
2008/9/17,811.32
2008/9/18,819.13
2008/9/19,818.64
2008/9/22,862.21
2008/9/23,854.72
