日期,PP华东现货价
2009/1/5,7300
2009/1/6,7300
2009/1/7,7300
2009/1/8,7300
2009/1/9,7300
2009/1/12,7300
2009/1/13,7300
2009/1/14,7300
2009/1/15,7300
2009/1/16,7300
2009/1/19,7300
2009/1/20,7350
2009/1/21,7350
2009/1/22,7350
2009/1/23,7350
2009/2/2,7750
2009/2/3,7850
2009/2/4,7850
2009/2/5,7850
2009/2/6,7850
2009/2/9,8050
2009/2/10,7950
2009/2/11,7900
2009/2/12,7900
2009/2/13,7900
2009/2/16,7600
2009/2/17,7450
2009/2/18,7450
2009/2/19,7450
2009/2/20,7450
2009/2/23,7400
2009/2/24,7550
2009/2/25,7550
2009/2/26,7550
2009/2/27,7550
2009/3/2,7400
2009/3/3,7400
2009/3/4,7400
2009/3/5,7400
2009/3/6,7400
2009/3/9,7600
2009/3/10,7600
2009/3/11,7650
2009/3/12,7650
2009/3/13,7650
2009/3/16,8000
2009/3/17,8000
2009/3/18,8100
2009/3/19,8100
2009/3/20,8100
2009/3/23,8750
2009/3/24,8750
2009/3/25,8950
2009/3/26,8950
2009/3/27,8950
2009/3/30,9400
2009/3/31,9575
2009/4/1,9950
2009/4/2,9950
2009/4/3,9950
2009/4/7,10000
2009/4/8,9850
2009/4/9,9850
2009/4/10,9850
2009/4/13,9400
2009/4/14,9250
2009/4/15,9325
2009/4/16,9325
2009/4/17,9325
2009/4/20,9650
2009/4/21,9650
2009/4/22,9650
2009/4/23,9650
2009/4/24,9650
2009/4/27,9550
2009/4/28,9450
2009/4/29,9450
2009/4/30,9450
2009/5/4,9475
2009/5/5,9475
2009/5/6,9475
2009/5/7,9475
2009/5/8,9475
2009/5/11,9575
2009/5/12,9550
2009/5/13,9500
2009/5/14,9500
2009/5/15,9500
2009/5/18,9300
2009/5/19,9225
2009/5/20,9125
2009/5/21,9125
2009/5/22,9125
2009/5/25,9025
2009/5/26,9250
2009/5/27,9250
2009/6/1,9500
2009/6/2,9475
2009/6/3,9550
2009/6/4,9550
2009/6/5,9550
2009/6/8,9700
2009/6/9,9750
2009/6/10,9825
2009/6/11,9825
2009/6/12,9825
2009/6/15,9775
2009/6/16,9750
2009/6/17,9750
2009/6/18,9750
2009/6/19,9750
2009/6/22,9575
2009/6/23,9550
2009/6/24,9575
2009/6/25,9575
2009/6/26,9575
2009/6/29,9625
2009/6/30,9675
2009/7/1,9700
2009/7/2,9700
2009/7/3,9700
2009/7/6,10000
2009/7/7,9975
2009/7/8,9975
2009/7/9,9975
2009/7/10,9975
2009/7/13,9850
2009/7/14,9850
2009/7/15,9850
2009/7/16,9850
2009/7/17,9850
2009/7/20,9850
2009/7/21,9850
2009/7/22,9850
2009/7/23,9850
2009/7/24,9850
2009/7/27,9950
2009/7/28,9925
2009/7/29,9950
2009/7/30,9950
2009/7/31,9950
2009/8/3,10350
2009/8/4,10350
2009/8/5,10350
2009/8/6,10350
2009/8/7,10350
2009/8/10,10200
2009/8/11,10150
2009/8/12,10150
2009/8/13,10150
2009/8/14,10150
2009/8/17,10075
2009/8/18,10050
2009/8/19,10050
2009/8/20,10050
2009/8/21,10050
2009/8/24,9950
2009/8/25,9950
2009/8/26,9950
2009/8/27,9950
2009/8/28,9950
2009/8/31,9700
2009/9/1,9575
2009/9/2,9575
2009/9/3,9575
2009/9/4,9575
2009/9/7,9500
2009/9/8,9550
2009/9/9,9550
2009/9/10,9550
2009/9/11,9550
2009/9/14,9500
2009/9/15,9500
2009/9/16,9400
2009/9/17,9400
2009/9/18,9400
2009/9/21,9275
2009/9/22,9250
2009/9/23,9100
2009/9/24,9100
2009/9/25,9075
2009/9/28,9050
2009/9/29,9050
2009/9/30,9050
2009/10/9,9400
2009/10/12,#N/A
2009/10/13,9550
2009/10/14,9600
2009/10/15,9600
2009/10/16,9600
2009/10/19,9650
2009/10/20,9675
2009/10/21,9725
2009/10/22,9725
2009/10/23,9725
2009/10/26,9725
2009/10/27,9700
2009/10/28,9700
2009/10/29,9700
2009/10/30,9700
2009/11/2,9650
2009/11/3,9650
2009/11/4,9650
2009/11/5,9650
2009/11/6,9650
2009/11/9,9700
2009/11/10,9750
2009/11/11,9825
2009/11/12,9825
2009/11/13,9825
2009/11/16,10125
2009/11/17,10200
2009/11/18,10200
2009/11/19,10200
2009/11/20,10200
2009/11/23,10250
2009/11/24,10250
2009/11/25,10250
2009/11/26,10250
2009/11/27,10250
2009/11/30,10200
2009/12/1,10200
2009/12/2,10200
2009/12/3,10200
2009/12/4,10200
2009/12/7,10150
2009/12/8,10100
2009/12/9,10050
2009/12/10,10050
2009/12/11,10050
2009/12/14,10250
2009/12/15,10300
2009/12/16,10300
2009/12/17,10300
2009/12/18,10300
2009/12/21,10500
2009/12/22,10500
2009/12/23,10550
2009/12/24,10550
2009/12/25,10550
2009/12/28,10650
2009/12/29,10725
2009/12/30,10725
2009/12/31,10725
2010/1/4,11150
2010/1/5,11150
2010/1/6,11150
2010/1/7,11150
2010/1/8,11150
2010/1/11,11050
2010/1/12,10950
2010/1/13,10925
2010/1/14,10925
2010/1/15,10925
2010/1/18,10875
2010/1/19,10875
2010/1/20,10875
2010/1/21,10875
2010/1/22,10875
2010/1/25,10875
2010/1/26,10825
2010/1/27,10825
2010/1/28,10825
2010/1/29,10825
2010/2/1,10725
2010/2/2,10725
2010/2/3,10725
2010/2/4,10725
2010/2/5,10725
2010/2/8,10725
2010/2/9,10725
2010/2/10,10725
2010/2/11,10725
2010/2/12,10725
2010/2/22,10925
2010/2/23,10950
2010/2/24,10950
2010/2/25,10950
2010/2/26,10950
2010/3/1,10875
2010/3/2,10875
2010/3/3,10875
2010/3/4,10875
2010/3/5,10875
2010/3/8,10650
2010/3/9,10650
2010/3/10,10650
2010/3/11,10650
2010/3/12,10650
2010/3/15,10550
2010/3/16,10600
2010/3/17,10625
2010/3/18,10625
2010/3/19,10625
2010/3/22,10825
2010/3/23,10800
2010/3/24,10775
2010/3/25,10775
2010/3/26,10775
2010/3/29,10750
2010/3/30,10775
2010/3/31,10775
2010/4/1,10775
2010/4/2,10775
2010/4/6,11000
2010/4/7,11000
2010/4/8,11000
2010/4/9,11000
2010/4/12,11175
2010/4/13,11325
2010/4/14,11425
2010/4/15,11425
2010/4/16,11425
2010/4/19,11450
2010/4/20,11450
2010/4/21,11400
2010/4/22,11400
2010/4/23,11400
2010/4/26,11350
2010/4/27,11300
2010/4/28,11300
2010/4/29,11300
2010/4/30,11300
2010/5/4,11350
2010/5/5,11350
2010/5/6,11350
2010/5/7,11350
2010/5/10,11250
2010/5/11,11250
2010/5/12,11200
2010/5/13,11200
2010/5/14,11200
2010/5/17,10725
2010/5/18,10725
2010/5/19,10725
2010/5/20,10725
2010/5/21,10725
2010/5/24,10725
2010/5/25,10650
2010/5/26,10700
2010/5/27,10700
2010/5/28,10700
2010/5/31,10750
2010/6/1,10725
2010/6/2,10725
2010/6/3,10725
2010/6/4,10725
2010/6/7,10450
2010/6/8,10450
2010/6/9,10450
2010/6/10,10450
2010/6/11,10450
2010/6/17,10500
2010/6/18,10500
2010/6/21,10500
2010/6/22,10500
2010/6/23,10500
2010/6/24,10500
2010/6/25,10500
2010/6/28,10400
2010/6/29,10325
2010/6/30,10225
2010/7/1,10225
2010/7/2,10225
2010/7/5,9875
2010/7/6,9875
2010/7/7,9875
2010/7/8,9875
2010/7/9,9875
2010/7/12,9900
2010/7/13,9925
2010/7/14,9900
2010/7/15,9900
2010/7/16,9900
2010/7/19,9900
2010/7/20,9950
2010/7/21,10250
2010/7/22,10250
2010/7/23,10250
2010/7/26,10550
2010/7/27,10550
2010/7/28,10550
2010/7/29,10550
2010/7/30,10550
2010/8/2,10800
2010/8/3,10800
2010/8/4,10750
2010/8/5,10750
2010/8/6,10750
