日期,TA内盘人民币价
2006/12/18,8260
2006/12/19,8240
2006/12/20,8240
2006/12/21,8240
2006/12/22,8240
2006/12/25,#N/A
2006/12/26,8240
2006/12/27,8225
2006/12/28,8275
2006/12/29,8275
2007/1/4,8275
2007/1/5,8350
2007/1/8,8350
2007/1/9,8365
2007/1/10,8365
2007/1/11,8365
2007/1/12,8365
2007/1/15,8355
2007/1/16,#N/A
2007/1/17,8225
2007/1/18,8175
2007/1/19,8150
2007/1/22,8025
2007/1/23,8000
2007/1/24,8000
2007/1/25,8025
2007/1/26,8040
2007/1/29,8050
2007/1/30,8050
2007/1/31,8050
2007/2/1,8075
2007/2/2,8075
2007/2/5,8075
2007/2/6,8075
2007/2/7,8050
2007/2/8,8050
2007/2/9,8025
2007/2/12,8025
2007/2/13,8025
2007/2/14,8025
2007/2/15,8025
2007/2/16,8025
2007/2/26,8075
2007/2/27,8100
2007/2/28,8100
2007/3/1,8100
2007/3/2,8125
2007/3/5,8100
2007/3/6,8100
2007/3/7,8100
2007/3/8,8115
2007/3/9,8115
2007/3/12,8115
2007/3/13,8075
2007/3/14,8075
2007/3/15,8025
2007/3/16,8025
2007/3/19,7962
2007/3/20,7962
2007/3/21,7975
2007/3/22,8025
2007/3/23,8025
2007/3/26,8065
2007/3/27,8100
2007/3/28,8125
2007/3/29,8125
2007/3/30,8150
2007/4/2,8200
2007/4/3,8225
2007/4/4,8262
2007/4/5,8325
2007/4/6,8325
2007/4/9,#N/A
2007/4/10,8275
2007/4/11,8275
2007/4/12,8275
2007/4/13,8275
2007/4/16,8625
2007/4/17,8625
2007/4/18,8625
2007/4/19,8600
2007/4/20,8575
2007/4/23,8575
2007/4/24,8675
2007/4/25,8690
2007/4/26,8750
2007/4/27,8750
2007/4/30,8765
2007/5/8,8765
2007/5/9,8765
2007/5/10,8765
2007/5/11,8700
2007/5/14,8675
2007/5/15,8725
2007/5/16,8700
2007/5/17,8700
2007/5/18,8700
2007/5/21,8700
2007/5/22,8700
2007/5/23,8700
2007/5/24,8700
2007/5/25,8725
2007/5/28,8775
2007/5/29,8750
2007/5/30,8725
2007/5/31,8700
2007/6/1,8650
2007/6/4,8600
2007/6/5,8600
2007/6/6,8575
2007/6/7,8500
2007/6/8,8500
2007/6/11,8475
2007/6/12,8450
2007/6/13,8375
2007/6/14,8375
2007/6/15,8400
2007/6/18,8450
2007/6/19,8500
2007/6/20,8500
2007/6/21,8450
2007/6/22,8450
2007/6/25,8400
2007/6/26,8400
2007/6/27,8375
2007/6/28,8350
2007/6/29,8350
2007/7/2,8325
2007/7/3,8325
2007/7/4,8375
2007/7/5,#N/A
2007/7/6,8375
2007/7/9,8400
2007/7/10,8400
2007/7/11,8410
2007/7/12,8450
2007/7/13,8465
2007/7/16,8490
2007/7/17,8490
2007/7/18,8475
2007/7/19,8450
2007/7/20,8450
2007/7/23,8450
2007/7/24,8465
2007/7/25,8450
2007/7/26,8450
2007/7/27,8450
2007/7/30,8450
2007/7/31,8415
2007/8/1,8400
2007/8/2,8400
2007/8/3,8360
2007/8/6,8335
2007/8/7,8300
2007/8/8,8275
2007/8/9,8250
2007/8/10,8215
2007/8/13,8100
2007/8/14,8025
2007/8/15,8090
2007/8/16,8150
2007/8/17,8150
2007/8/20,8125
2007/8/21,8025
2007/8/22,8000
2007/8/23,7975
2007/8/24,7950
2007/8/27,7925
2007/8/28,7925
2007/8/29,7900
2007/8/30,7875
2007/8/31,7800
2007/9/3,7825
2007/9/4,#N/A
2007/9/5,7875
2007/9/6,7850
2007/9/7,7875
2007/9/10,7875
2007/9/11,7875
2007/9/12,7875
2007/9/13,7875
2007/9/14,7850
2007/9/17,7800
2007/9/18,7765
2007/9/19,7775
2007/9/20,7775
2007/9/21,7775
2007/9/24,7750
2007/9/25,7700
2007/9/26,7625
2007/9/27,7575
2007/9/28,7500
2007/10/8,7500
2007/10/9,7400
2007/10/10,7325
2007/10/11,7300
2007/10/12,7225
2007/10/15,7250
2007/10/16,7250
2007/10/17,7200
2007/10/18,7200
2007/10/19,7200
2007/10/22,7200
2007/10/23,7200
2007/10/24,7175
2007/10/25,7150
2007/10/26,7090
2007/10/29,7090
2007/10/30,7090
2007/10/31,7100
2007/11/1,7100
2007/11/2,7100
2007/11/5,7125
2007/11/6,7200
2007/11/7,7275
2007/11/8,7325
2007/11/9,7415
2007/11/12,7465
2007/11/13,7425
2007/11/14,7360
2007/11/15,7310
