日期,现货（常州sg-5低端价）
2013/1/4,6330
2013/1/7,6400
2013/1/8,6400
2013/1/9,6400
2013/1/10,6400
2013/1/11,6400
2013/1/14,6380
2013/1/15,6380
2013/1/16,6380
2013/1/17,6360
2013/1/18,6360
2013/1/21,6360
2013/1/22,6360
2013/1/23,6360
2013/1/24,6360
2013/1/25,6360
2013/1/28,6380
2013/1/29,6380
2013/1/30,6380
2013/1/31,6380
2013/2/1,6380
2013/2/4,6380
2013/2/5,6380
2013/2/6,6380
2013/2/7,6380
2013/2/8,6380
2013/2/18,6400
2013/2/19,6400
2013/2/20,6400
2013/2/21,6400
2013/2/22,6400
2013/2/25,6400
2013/2/26,6400
2013/2/27,6400
2013/2/28,6400
2013/3/1,6400
2013/3/4,6390
2013/3/5,6390
2013/3/6,6390
2013/3/7,6390
2013/3/8,6390
2013/3/11,6390
2013/3/12,6350
2013/3/13,6350
2013/3/14,6330
2013/3/15,6330
2013/3/18,6330
2013/3/19,6330
2013/3/20,6330
2013/3/21,6330
2013/3/22,6330
2013/3/25,6330
2013/3/26,6330
2013/3/27,6330
2013/3/28,6330
2013/3/29,6300
2013/4/1,6300
2013/4/2,6280
2013/4/3,6280
2013/4/8,6300
2013/4/9,6300
2013/4/10,6330
2013/4/11,6330
2013/4/12,6330
2013/4/15,6330
2013/4/16,6300
2013/4/17,6300
2013/4/18,6300
2013/4/19,6300
2013/4/22,6300
2013/4/23,6300
2013/4/24,6300
2013/4/25,6300
2013/4/26,6330
2013/5/2,6340
2013/5/3,6350
2013/5/6,6350
2013/5/7,6350
2013/5/8,6430
2013/5/9,6430
2013/5/10,6450
2013/5/13,6480
2013/5/14,6500
2013/5/15,6500
2013/5/16,6500
2013/5/17,6500
2013/5/20,6500
2013/5/21,6500
2013/5/22,6500
2013/5/23,6500
2013/5/24,6500
2013/5/27,6500
2013/5/28,6500
2013/5/29,6500
2013/5/30,6500
2013/5/31,6500
2013/6/3,6500
2013/6/4,6500
2013/6/5,6500
2013/6/6,6500
2013/6/7,6500
2013/6/13,6500
2013/6/14,6530
2013/6/17,6530
2013/6/18,6550
2013/6/19,6570
2013/6/20,6600
2013/6/21,6600
2013/6/24,6580
2013/6/25,6580
2013/6/26,6580
2013/6/27,6580
2013/6/28,6580
2013/7/1,6580
