date,PX
2005/12/13,875
2005/12/14,875
2005/12/15,875
2005/12/16,875
2005/12/19,875
2005/12/20,965
2005/12/21,965
2005/12/22,965
2005/12/23,965
2005/12/27,812.5
2005/12/28,812.5
2005/12/29,965
2005/12/30,965
2006/1/4,965
2006/1/5,965
2006/1/6,965
2006/1/9,980
2006/1/11,980
2006/1/12,980
2006/1/13,980
2006/1/16,980
2006/1/18,1012.5
2006/1/19,1012.5
2006/1/20,1012.5
2006/1/23,1012.5
2006/1/24,1012.5
2006/1/25,1012.5
2006/1/26,1012.5
2006/1/27,1012.5
2006/2/6,1012.5
2006/2/7,1012.5
2006/2/8,1012.5
2006/2/9,1012.5
2006/2/10,1012.5
2006/2/13,1012.5
2006/2/14,1012.5
2006/2/15,1012.5
2006/2/16,990
2006/2/17,990
2006/2/20,965
2006/2/22,965
2006/2/23,965
2006/2/24,965
2006/2/27,965
2006/2/28,965
2006/3/1,980
2006/3/2,980
2006/3/3,980
2006/3/6,980
2006/3/7,980
2006/3/8,980
2006/3/9,967.5
2006/3/10,967.5
2006/3/13,955
2006/3/14,955
2006/3/15,955
2006/3/16,955
2006/3/17,955
2006/3/20,975
2006/3/21,975
2006/3/22,975
2006/3/23,975
2006/3/24,975
2006/3/27,970
2006/3/28,970
2006/3/29,970
2006/3/30,970
2006/3/31,970
2006/4/3,970
2006/4/4,975
2006/4/5,975
2006/4/6,975
2006/4/7,975
2006/4/10,975
2006/4/11,1020
2006/4/12,1020
2006/4/13,1020
2006/4/17,1020
2006/4/18,1020
2006/4/19,1020
2006/4/20,1020
2006/4/21,1020
2006/4/24,1045
2006/4/25,1045
2006/4/26,1045
2006/4/27,1045
2006/4/28,1045
2006/5/8,1045
2006/5/9,1060
2006/5/10,1060
2006/5/11,1060
2006/5/15,1060
2006/5/16,1060
2006/5/17,1060
2006/5/18,1060
2006/5/19,1060
2006/5/22,1105
2006/5/23,1105
2006/5/24,1105
2006/5/25,1105
2006/5/26,1105
2006/5/31,1105
2006/6/1,1105
2006/6/2,1105
2006/6/5,1105
2006/6/6,1170
2006/6/7,1170
2006/6/8,1170
2006/6/9,1170
2006/6/12,1170
2006/6/13,1220
2006/6/14,1220
2006/6/15,1220
2006/6/16,1220
2006/6/19,1220
2006/6/20,1220
2006/6/21,1240
2006/6/22,1240
2006/6/23,1240
2006/6/26,1240
2006/6/27,1240
2006/6/28,1240
2006/6/29,1240
2006/6/30,1240
2006/7/3,1320
2006/7/6,1240
2006/7/7,1240
2006/7/10,1240
2006/7/11,1240
2006/7/12,1290
2006/7/13,1290
2006/7/14,1290
2006/7/17,1290
2006/7/18,1300
2006/7/19,1290
2006/7/20,1290
2006/7/21,1290
2006/7/24,1370
2006/7/25,1370
2006/7/26,1370
2006/7/27,1370
2006/7/28,1370
2006/7/31,1435
2006/8/1,1435
2006/8/2,1435
2006/8/3,1435
2006/8/4,1435
2006/8/7,1435
2006/8/8,1435
2006/8/10,1435
2006/8/11,1435
2006/8/14,1435
2006/8/15,1535
2006/8/16,1535
2006/8/17,1535
2006/8/18,1535
2006/8/21,1532.5
2006/8/22,1532.5
2006/8/23,1532.5
2006/8/24,1532.5
2006/8/25,1532.5
2006/8/28,1532.5
2006/8/29,1532.5
2006/8/30,1495
2006/8/31,1495
2006/9/1,1495
2006/9/4,1490
2006/9/6,1490
2006/9/7,1490
2006/9/8,1490
2006/9/11,1465
2006/9/12,1465
2006/9/13,1465
2006/9/14,1465
2006/9/15,1465
2006/9/18,1465
2006/9/19,1465
2006/9/20,1380
2006/9/21,1380
2006/9/22,1380
2006/9/25,1380
2006/9/26,1380
2006/9/27,1352.5
2006/9/28,1352.5
2006/9/29,1352.5
2006/10/9,1180
2006/10/10,1180
2006/10/11,1180
2006/10/12,1180
2006/10/13,1180
2006/10/16,1067.5
2006/10/17,1067.5
2006/10/18,1067.5
2006/10/19,1067.5
2006/10/20,1067.5
2006/10/23,1080
2006/10/24,1080
2006/10/25,1080
2006/10/26,1080
2006/10/27,1080
2006/10/30,1080
2006/10/31,1080
2006/11/1,1080
2006/11/2,1080
2006/11/3,1080
2006/11/6,1045
2006/11/7,1045
2006/11/8,1045
2006/11/9,1045
2006/11/10,1045
2006/11/13,1115
2006/11/14,1115
2006/11/15,1115
2006/11/16,1115
2006/11/17,1115
2006/11/20,1125
2006/11/21,1125
2006/11/22,1125
2006/11/23,1125
2006/11/28,1100
2006/11/29,1100
2006/11/30,1100
2006/12/1,1100
2006/12/4,1115
2006/12/5,1115
2006/12/6,1115
2006/12/7,1115
2006/12/8,1115
2006/12/11,1170
2006/12/12,1170
2006/12/13,1170
2006/12/14,1170
2006/12/15,1170
2006/12/18,1170
2006/12/19,1170
2006/12/20,1170
2006/12/21,1170
2006/12/22,1170
2006/12/26,1170
2006/12/27,1170
2006/12/28,1170
2006/12/29,1170
2007/1/4,1170
2007/1/5,1170
2007/1/8,1200
2007/1/9,1200
2007/1/10,1200
2007/1/11,1200
2007/1/12,1200
2007/1/15,1200
2007/1/17,1200
2007/1/18,1200
2007/1/19,1200
2007/1/22,1200
2007/1/23,1200
2007/1/24,1200
2007/1/25,1200
2007/1/26,1097.5
2007/1/29,1150
2007/1/30,1162.5
2007/1/31,1137.5
2007/2/1,1127.5
2007/2/2,1127.5
2007/2/5,1117.5
2007/2/6,1122.5
2007/2/7,1142.5
2007/2/8,1147.5
2007/2/9,1147.5
2007/2/12,1142.5
2007/2/13,1135
2007/2/14,1125
2007/2/15,1137.5
2007/2/16,1145
2007/2/26,1165
2007/2/27,1172.5
2007/2/28,1172.5
2007/3/1,1155
2007/3/2,1162.5
2007/3/5,1175
2007/3/6,1172.5
2007/3/7,1167.5
2007/3/8,1157.5
2007/3/9,1157.5
2007/3/12,1152.5
2007/3/13,1152.5
2007/3/14,1142.5
2007/3/15,1135
2007/3/16,1130
2007/3/19,1125
2007/3/20,1115
2007/3/21,1115
2007/3/22,1105
2007/3/23,1127.5
2007/3/26,1135
2007/3/27,1140
2007/3/28,1142.5
2007/3/29,1147.5
2007/3/30,1160
2007/4/2,1165
2007/4/3,1177.5
2007/4/4,1167.5
2007/4/5,1165
2007/4/6,1170
2007/4/10,1185
2007/4/11,1180
2007/4/12,1180
2007/4/13,1180
2007/4/16,1200
2007/4/17,1212.5
2007/4/18,1220
2007/4/19,1220
2007/4/20,1210
2007/4/23,1220
2007/4/24,1240
2007/4/25,1255
2007/4/26,1300
2007/4/27,1305
2007/4/30,1297.5
2007/5/8,1300
2007/5/9,1300
2007/5/10,1307.5
2007/5/11,1305
2007/5/14,1305
2007/5/15,1305
2007/5/16,1285
2007/5/17,1285
2007/5/18,1285
2007/5/21,1292.5
2007/5/22,1295
2007/5/23,1295
2007/5/24,1290
2007/5/25,1290
2007/5/28,1287.5
2007/5/29,1282.5
2007/5/30,1277.5
2007/5/31,1265
2007/6/1,1265
2007/6/4,1282.5
2007/6/5,1262.5
2007/6/6,1260
2007/6/7,1250
2007/6/8,1232.5
2007/6/11,1227.5
2007/6/12,1212.5
2007/6/13,1187.5
2007/6/14,1160
2007/6/15,1135
2007/6/18,1177.5
2007/6/19,1177.5
2007/6/20,1182.5
2007/6/21,1175
2007/6/22,1162.5
2007/6/25,1142.5
2007/6/26,1142.5
2007/6/27,1127.5
2007/6/28,1132.5
2007/6/29,1147.5
2007/7/2,1155
2007/7/3,1157.5
2007/7/4,1170
2007/7/6,1177.5
2007/7/9,1172.5
2007/7/10,1172.5
2007/7/11,1177.5
2007/7/12,1177.5
2007/7/13,1187.5
2007/7/16,1182.5
2007/7/17,1180
2007/7/18,1180
2007/7/19,1180
2007/7/20,1175
2007/7/23,1165
2007/7/24,1160
2007/7/25,1157.5
2007/7/26,1150
2007/7/27,1155
2007/7/30,1150
2007/7/31,1147.5
2007/8/1,1142.5
2007/8/2,1150
2007/8/3,1150
2007/8/6,1152.5
2007/8/7,1145
2007/8/8,1135
2007/8/9,1135
2007/8/10,1135
2007/8/13,1100
2007/8/14,1090
2007/8/15,1100
2007/8/16,1100
2007/8/17,1107.5
2007/8/20,1107.5
2007/8/21,1097.5
2007/8/22,1082.5
2007/8/23,1075
2007/8/24,1060
2007/8/27,1067.5
2007/8/28,1060
2007/8/29,1077.5
2007/8/30,1077.5
2007/8/31,1065
2007/9/3,1065
2007/9/5,1050
2007/9/6,1062.5
2007/9/7,1062.5
2007/9/10,1062.5
2007/9/11,1060
2007/9/12,1062.5
2007/9/13,1062.5
2007/9/14,1060
2007/9/17,1060
2007/9/18,1055
2007/9/19,1050
2007/9/20,1055
2007/9/21,1055
2007/9/24,1062.5
2007/9/25,1065
2007/9/26,1065
2007/9/27,1057.5
2007/9/28,1057.5
2007/10/8,1047.5
2007/10/9,1047.5
2007/10/10,1045
2007/10/11,1042.5
2007/10/12,1052.5
2007/10/15,1057.5
2007/10/16,1057.5
2007/10/17,1062.5
2007/10/18,1070
2007/10/19,1080
2007/10/22,1097.5
2007/10/23,1105
2007/10/24,1105
2007/10/25,1105
2007/10/26,1090
2007/10/29,1105
2007/10/30,1117.5
2007/10/31,1127.5
2007/11/1,1122.5
2007/11/2,1125
2007/11/5,1130
2007/11/6,1125
2007/11/7,1122.5
2007/11/8,1132.5
2007/11/9,1132.5
2007/11/12,1137.5
2007/11/13,1132.5
2007/11/14,1122.5
2007/11/15,1122.5
2007/11/16,1122.5
2007/11/19,1127.5
2007/11/20,1125
2007/11/21,1122.5
2007/11/22,1130
2007/11/26,1137.5
2007/11/27,1140
2007/11/28,1150
2007/11/29,1145
2007/11/30,1140
2007/12/3,1137.5
2007/12/4,1132.5
2007/12/5,1135
2007/12/6,1125
2007/12/7,1127.5
2007/12/10,1130
2007/12/11,1130
2007/12/12,1127.5
2007/12/13,1127.5
2007/12/14,1122.5
2007/12/17,1122.5
2007/12/18,1117.5
2007/12/19,1112.5
2007/12/20,1112.5
2007/12/21,1112.5
2007/12/24,1117.5
2007/12/25,1117.5
2007/12/27,1117.5
2007/12/28,1120
2008/1/2,1122.5
2008/1/3,1130
2008/1/4,1137.5
2008/1/7,1140
2008/1/8,1140
2008/1/9,1127.5
2008/1/10,1127.5
2008/1/11,1127.5
2008/1/14,1125
2008/1/15,1125
2008/1/16,1125
2008/1/17,1125
2008/1/18,1122.5
2008/1/21,1122.5
2008/1/23,1117.5
2008/1/24,1117.5
2008/1/25,1115
2008/1/28,1127.5
2008/1/29,1122.5
2008/1/30,1122.5
2008/1/31,1120
2008/2/1,1117.5
2008/2/4,1125
2008/2/5,1125
2008/2/13,1127.5
2008/2/14,1127.5
2008/2/15,1132.5
