,BU.SHF,HC.SHF,I.DCE,J.DCE,JM.DCE,L.DCE,MA.CZC,PP.DCE,RB.SHF,TA.CZC,V.DCE,ZC.CZC
2013-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-08,0.0,0.0,0.0,0.0,0.0,4.574565416285453,0.0,0.0,-6.243756243756244,5.756389592447617,-7.457121551081283,0.0
2013-01-09,0.0,0.0,0.0,0.0,0.0,4.6490004649000465,0.0,0.0,-6.234413965087283,5.767012687427912,-7.479431563201197,0.0
2013-01-10,0.0,0.0,0.0,0.0,0.0,4.666355576294913,0.0,0.0,-6.253126563281641,5.831583858175882,-7.462686567164179,0.0
2013-01-11,0.0,0.0,0.0,0.0,0.0,4.657661853749418,0.0,0.0,-6.218905472636816,5.837030119075415,-7.457121551081283,0.0
2013-01-14,0.0,0.0,0.0,1.4180374361883155,0.0,4.7303689687795645,0.0,0.0,-6.369426751592358,0.0,-7.524454477050413,0.0
2013-01-15,0.0,0.0,0.0,0.0,0.0,4.694835680751174,0.0,0.0,-6.243756243756244,5.8644147314098065,-7.496251874062969,0.0
2013-01-16,0.0,0.0,0.0,1.3827433628318584,0.0,0.0,0.0,0.0,-6.286145335680161,5.969436485195797,-7.535795026375283,0.0
2013-01-17,0.0,0.0,0.0,1.3989927252378287,0.0,0.0,0.0,0.0,-6.354855109303509,5.958055290753098,-7.552870090634441,0.0
2013-01-18,0.0,0.0,0.0,1.375137513751375,0.0,0.0,0.0,0.0,-6.3355296502787635,5.943889681407513,-7.55287009063444,0.0
2013-01-21,0.0,0.0,0.0,0.0,0.0,4.638218923933209,0.0,0.0,-6.246876561719141,5.841121495327103,-7.485029940119761,0.0
2013-01-22,0.0,0.0,0.0,0.0,0.0,4.6685340802987865,0.0,0.0,-6.305170239596469,5.87958607714017,-7.496251874062969,0.0
2013-01-23,0.0,0.0,0.0,0.0,0.0,4.6490004649000465,0.0,0.0,-6.270378730875345,5.924170616113744,-7.49063670411985,0.0
2013-01-24,0.0,0.0,0.0,0.0,0.0,4.642525533890437,0.0,0.0,-6.168270416975079,5.912961210974456,-7.485029940119761,0.0
2013-01-25,0.0,0.0,0.0,0.0,0.0,4.672897196261682,0.0,0.0,-6.200396825396825,5.890669180018851,-7.501875468867217,0.0
