,净值,杠杆倍数,每日PnL,资金占用比例
2013-01-04,1.0,0.0,0.0,0.0
2013-01-07,1.0,0.0,0.0,0.0
2013-01-08,1.00588,1.0311,5880.0,0.07175508012884241
2013-01-09,1.00132,1.02366,-4560.0,0.07156173850517318
2013-01-10,0.99722,1.0653,-4100.0,0.07477888530113716
2013-01-11,0.9948,0.9999,-2420.0,0.07035886610373944
2013-01-14,1.00348,1.06832,8680.0,0.07452305975206283
2013-01-15,1.00131,1.01964,-2170.0,0.07128142133804716
2013-01-16,1.00048,1.04752,-830.0,0.07329122021429713
2013-01-17,1.00822,1.05838,7740.0,0.07348257324790225
2013-01-18,1.01504,1.07976,6820.0,0.07446327238335436
2013-01-21,1.01929,1.035,4250.0,0.07107888824573969
2013-01-22,1.01857,1.07961,-720.0,0.07419490069411039
2013-01-23,1.01299,1.09119,-5580.0,0.07540380457852498
2013-01-24,1.01071,1.04334,-2280.0,0.07225989650839511
2013-01-25,1.00753,1.05072,-3180.0,0.07300070469365677
2013-01-28,1.00759,1.04886,60.0,0.07286713841939679
2013-01-29,1.01257,1.05408,4980.0,0.07286962876640628
2013-01-30,1.00687,1.05918,-5700.0,0.07363671576271019
2013-01-31,1.01041,1.06584,3540.0,0.07384012430597482
2013-02-01,1.00609,1.07136,-4320.0,0.07454124382510512
2013-02-04,1.00453,1.08252,-1560.0,0.0754346808955432
2013-02-05,1.01185,1.0704,7320.0,0.07405050155655482
2013-02-06,1.01437,1.06548,2520.0,0.07352701676902906
2013-02-07,1.00537,1.10628,-9000.0,0.07702597053820982
2013-02-08,1.00141,0.89984,-3960.0,0.06290011084371037
2013-02-18,1.00349,0.89496,2080.0,0.062429321667380855
2013-02-19,1.00343,1.09482,-60.0,0.07637543226732309
2013-02-20,0.99773,1.08552,-5700.0,0.076159281569162
2013-02-21,0.98855,1.0557,-9180.0,0.07475494411006019
2013-02-22,0.98033,1.03572,-8220.0,0.07395509675313416
2013-02-25,0.98303,1.03362,2700.0,0.07360243329298191
2013-02-26,0.98183,1.01802,-1200.0,0.0725801819052178
