,净值,杠杆倍数,每日PnL,资金占用比例
2013-01-02,1.0,0.0023024113,0.0,0.0023024113
2013-01-03,0.9999995612,0.0022883501,-0.4388000000000116,0.002288351104128464
2013-01-04,0.9999988227,0.0022732768,-0.7385000000000037,0.0022732794763319275
2013-01-07,0.9999995322,0.0004202457,0.7095000000000078,0.0004202458965910304
2013-01-08,0.9999995831,0.00042140820000000003,0.05090000000001105,0.00042140837568515184
2013-01-09,0.9999995998,0.00042098209999999996,0.01669999999998195,0.0004209822684771038
2013-01-10,0.9999997391,0.0023249499,0.1393000000000093,0.0023249505065795874
2013-01-11,1.0000157311,0.0022877737999999993,15.992000000000008,0.002287737811367715
2013-01-14,1.0000138281,0.002319086,-1.9030000000000058,0.0023190539318903246
2013-01-15,1.0000123464,0.0023251127,-1.4817000000000045,0.002325083993582982
2013-01-16,1.0000130888,0.0023169199,0.7423999999999955,0.0023168895746957345
2013-01-17,1.0000141818,0.0023166008999999997,1.0930000000000035,0.0023165680468952726
2013-01-18,1.0000137314,0.0023244881,-0.4504000000000028,0.002324456181962383
2013-01-22,1.0000117247,0.0023528809999999994,-2.0067000000000057,0.002352853413499582
2013-01-23,1.0000125808,0.0023546527000000003,0.8561000000000138,0.0023546230769579935
2013-01-24,1.0000129121,0.0023678996,0.33129999999999793,0.0023678690258383513
2013-01-25,1.0000138915,0.0023536652000000005,0.9793999999999903,0.002353632504514064
2013-01-28,1.0000119398,0.0023577957,-1.9517000000000078,0.002357767548727022
2013-01-29,1.000010973,0.0023918997000000005,-0.966799999999985,0.00239187345397259
2013-01-30,1.0000105414,0.0024024419000000003,-0.43159999999999776,0.002402416575165915
2013-01-31,1.00001049,0.0024073475,-0.05139999999999212,0.0024073222471896268
2013-02-01,1.0000103933,0.0024360798,-0.09670000000001622,0.002436054481354959
2013-02-04,1.0000099287,0.0022025424999999998,-0.4645999999999795,0.0022025206318334024
2013-02-05,1.0000091863,0.0022158465000000002,-0.742400000000004,0.0022158261447562866
2013-02-06,1.0000104252,0.0024457918,1.2389000000000001,0.002445766302397144
2013-02-07,1.0000103368,0.0024507006,-0.08839999999999293,0.0024506752678598908
2013-02-08,1.0000089193,0.0024850558999999998,-1.4175000000000146,0.0024850337352386054
2013-02-11,1.0000092935,0.0024774465,0.37420000000000986,0.002477423476064925
2013-02-12,1.0000027872,0.0024730510000000004,-6.506299999999985,0.002473044107131465
2013-02-13,1.0000135512,0.0024525171999999996,10.763999999999992,0.0024524839658992812
2013-02-14,1.0000140578,0.002452773,0.5065999999999846,0.0024527385198924354
2013-02-15,1.0000140883,0.0024326383,0.030500000000017735,0.002432604028744662
2013-02-19,1.0000159136,0.0024290664,1.8252999999999893,0.0024290277454240704
2013-02-20,1.0000153686,0.0024133079999999994,-0.545000000000007,0.0024132709114046704
2013-02-21,1.0000157401,0.0023765905,0.3715000000000188,0.002376553092816664
2013-02-22,1.0000152014,0.0023703554000000003,-0.538700000000012,0.002370319367827162
2013-02-25,1.0000174151,0.0023751647000000006,2.213700000000004,0.002375123336989575
2013-02-26,1.0000199704,0.00042247889999999993,2.555299999999992,0.0004224704630958637
2013-02-27,1.0000199294,0.0004206853,-0.041000000000005254,0.00042067691616146704
2013-02-28,1.0000198938,0.0004182685,-0.03559999999998409,0.00041826017921564677
2013-03-01,1.000020143,0.00041378789999999997,0.24919999999998765,0.00041377956523821737
2013-03-04,1.0000201059,0.0004119424,-0.03709999999999214,0.0004119341176938231
2013-03-05,1.0000202137,0.000416685,0.10779999999999479,0.00041667657742466694
2013-03-06,1.0000201984,0.0004147569000000001,-0.015300000000000757,0.0004147485227434383
2013-03-07,1.0000203531,0.0004173744,0.15469999999999606,0.00041736590530999266
2013-03-08,1.000020501,0.00041788930000000006,0.14790000000001058,0.00041788073302709224
2013-03-11,1.0000206078,0.00041682970000000004,0.10679999999999978,0.0004168211102339246
2013-03-12,1.0000208072,0.00041661930000000007,0.19939999999999758,0.00041661063149926833
2013-03-13,1.0000209754,0.0004143701,0.16819999999999657,0.00041436140860371
2013-03-14,1.0000208083,0.0004170036,-0.1671000000000018,0.00041699492304454283
2013-03-15,1.0000206784,0.0004186337,-0.12989999999997615,0.0004186250435039004
2013-03-18,1.0000207475,0.00041859460000000004,0.06909999999996996,0.00041858591538872046
2013-03-19,1.0000207644,0.0020300879,0.016900000000005022,0.0020300457473180844
2013-03-20,1.000021476,0.0004154957,0.7115999999999993,0.000415486777005977
2013-03-21,1.0000217994,0.00041173610000000004,0.3234000000000252,0.0004117271245957201
2013-03-22,1.0000218837,0.0020263808,0.0842999999999896,0.0020263364562608925
2013-03-25,1.0000216893,0.002032227,-0.19440000000000746,0.0020321829233749204
2013-03-26,1.0000209979,0.0020380432,-0.6913999999999922,0.002038000406271269
2013-03-27,1.0000212584,0.0020560494999999996,0.2605000000000044,0.002056005792606458
2013-03-28,1.0000217869,0.0020657382,0.5285000000000002,0.0020656931949489315
2013-04-01,1.0000216153,0.0040581498,-0.17160000000000597,0.004058062083770641
2013-04-02,1.0000220118,0.0040881423,0.3965000000000014,0.004088052314610061
2013-04-03,1.0000235088,0.004028094899999999,1.4970000000000088,0.004028000206548744
2013-04-04,1.0000243169,0.0039377756,0.808099999999996,0.003937679847832908
2013-04-05,1.0000225291,0.003917767,-1.787800000000006,0.0039176787382239385
2013-04-08,1.0000226841,0.0039051811999999994,0.15499999999999758,0.003905092616488578
2013-04-09,1.0000228888,0.003908387300000001,0.20470000000000255,0.003908297843752314
2013-04-10,1.0000235649,0.003928562,0.6761000000000106,0.0039284694260108225
2013-04-11,1.000030929,0.0038869789000000004,7.364100000000015,0.0038868586833477833
2013-04-12,1.0000381249,0.0038009000000000003,7.195899999999987,0.0038007550965920176
2013-04-15,1.0000406886,0.0037326797000000003,2.5636999999999723,0.0037325278286681907
2013-04-16,1.0000396608,0.0036877548999999996,-1.0278000000000098,0.003687608646490993
2013-04-17,1.0000391889,0.0036724535999999993,-0.4718999999999838,0.0036723096862229373
2013-04-18,1.0000393744,0.0036633811,0.18549999999999756,0.0036632368622464915
2013-04-19,1.0000391496,0.0036877471,-0.22479999999998412,0.00368760273182809
2013-04-22,1.0000388706,0.0037005457,-0.2790000000000017,0.0037004018631593377
2013-04-23,1.0000390465,0.0036989653999999995,0.17590000000000128,0.0036988209739868385
2013-04-24,1.0000405899,0.0037294382,1.5433999999999966,0.003729286828620555
2013-04-25,1.0000399572,0.0037808438999999993,-0.6326999999999963,0.003780692834100289
2013-04-26,1.0000386804,0.0038092795000000002,-1.2768000000000086,0.0038091321612443506
2013-04-29,1.0000386237,0.0038036269999999995,-0.05670000000004549,0.003803480095525834
2013-04-30,1.0000385172,0.0037836659,-0.10649999999992588,0.0037835201693969312
2013-05-01,1.0000384832,0.0020366754,-0.03399999999998693,0.0020365970252293588
2013-05-02,1.0000376912,0.0053201348,-0.7920000000000513,0.005319934285292866
2013-05-03,1.000038218,0.0054112294,0.5268000000000015,0.005411022601538215
2013-05-06,1.0000397527,0.0054730917,1.5347000000000008,0.005472874138476236
2013-05-07,1.0000385997,0.0055447029,-1.153000000000013,0.005544488884392409
2013-05-08,1.0000373779,0.0055623575,-1.221799999999984,0.005562149598528522
2013-05-09,1.0000363789,0.0055728348999999995,-0.9989999999999997,0.005572632173771413
2013-05-10,1.0000541457,0.0055671513,17.76679999999999,0.005566849879016505
2013-05-13,1.0000733266,0.0055379436,19.18090000000001,0.005537537551198998
2013-05-14,1.000075703,0.0055291972000000005,2.376399999999981,0.005528778654869491
2013-05-15,1.0000753021,0.0054680093,-0.4008999999999787,0.00546759757842039
2013-05-16,1.0000808595,0.0055294943,5.557399999999987,0.0055290472240059904
