,CLc1,CLc2,EBOBNWEMc1,EBOBNWEMc2,GO10SGSWMc1,GO10SGSWMc2,HOc1,HOc2,LCOc1,LCOc2,LGOc1,LGOc2,MOG92SGMc1,MOG92SGMc2,NACFRJPSWMc1,NACFRJPSWMc2,NGc1,NGc2,RBc1,RBc2
2013-01-02,2872.0,-2860.0,0.0,0.0,0.0,0.0,-2092.0,2100.0,-2380.0,2404.0,2840.0,-2836.0,0.0,0.0,0.0,0.0,8276.0,-8220.0,-2280.0,2284.0
2013-01-03,2880.0,-2864.0,0.0,0.0,0.0,0.0,-2104.0,2112.0,-2384.0,2412.0,2860.0,-2856.0,0.0,0.0,0.0,0.0,8364.0,-8324.0,-2276.0,2280.0
2013-01-04,2872.0,-2860.0,0.0,0.0,0.0,0.0,-2112.0,2124.0,-2404.0,2428.0,2880.0,-2876.0,0.0,0.0,0.0,0.0,8140.0,-8100.0,-2304.0,2300.0
2013-01-07,2872.0,-2856.0,0.0,0.0,0.0,0.0,-2100.0,2116.0,-2400.0,2424.0,-2852.0,2844.0,0.0,0.0,0.0,0.0,8192.0,-8156.0,2292.0,-2288.0
2013-01-08,2876.0,-2860.0,0.0,0.0,0.0,0.0,-2084.0,2096.0,-2392.0,2412.0,-2832.0,2828.0,0.0,0.0,0.0,0.0,8320.0,-8280.0,2280.0,-2276.0
2013-01-09,2876.0,-2860.0,0.0,0.0,0.0,0.0,-2076.0,2088.0,-2396.0,2416.0,-2824.0,2820.0,0.0,0.0,0.0,0.0,8600.0,-8548.0,2292.0,-2284.0
2013-01-10,2856.0,-2840.0,0.0,0.0,0.0,0.0,-2088.0,2092.0,-2392.0,2408.0,2824.0,-2792.0,0.0,0.0,0.0,0.0,8384.0,-8348.0,-2284.0,2276.0
2013-01-11,2864.0,-2852.0,0.0,0.0,0.0,0.0,-2120.0,2128.0,-2424.0,2440.0,-2852.0,2868.0,0.0,0.0,0.0,0.0,8060.0,-8036.0,2332.0,-2316.0
2013-01-14,2848.0,-2832.0,0.0,0.0,0.0,0.0,-2084.0,2092.0,-2396.0,2416.0,-2808.0,2828.0,0.0,0.0,0.0,0.0,7944.0,-7932.0,2316.0,-2300.0
2013-01-15,2876.0,-2864.0,0.0,0.0,0.0,0.0,-2120.0,2128.0,-2432.0,2448.0,-2792.0,2816.0,0.0,0.0,0.0,0.0,7764.0,-7768.0,2360.0,-2344.0
2013-01-16,2844.0,-2832.0,0.0,0.0,0.0,0.0,-2128.0,2132.0,-2424.0,2444.0,-2808.0,2832.0,0.0,0.0,0.0,0.0,7804.0,-7800.0,2344.0,-2332.0
2013-01-17,2808.0,-2796.0,0.0,0.0,0.0,0.0,-2112.0,2116.0,-2412.0,2432.0,-2816.0,2836.0,0.0,0.0,0.0,0.0,7672.0,-7672.0,2308.0,-2296.0
2013-01-18,2808.0,-2792.0,0.0,0.0,0.0,0.0,-2092.0,2100.0,-2396.0,2420.0,-2804.0,2828.0,0.0,0.0,0.0,0.0,7520.0,-7520.0,2284.0,-2272.0
2013-01-22,2784.0,-2772.0,0.0,0.0,0.0,0.0,-2080.0,2088.0,-2384.0,2408.0,-2764.0,2788.0,0.0,0.0,0.0,0.0,7532.0,-7532.0,2256.0,-2244.0
2013-01-23,2816.0,-2800.0,0.0,0.0,0.0,0.0,-2072.0,2084.0,-2376.0,2400.0,-2760.0,2784.0,0.0,0.0,0.0,0.0,7540.0,-7544.0,2252.0,-2240.0
2013-01-24,2792.0,-2780.0,0.0,0.0,0.0,0.0,-2068.0,2076.0,-2368.0,2388.0,-2748.0,2768.0,0.0,0.0,0.0,0.0,7780.0,-7760.0,2228.0,-2220.0
2013-01-25,2796.0,-2780.0,0.0,0.0,0.0,0.0,-2088.0,2092.0,-2364.0,2388.0,-2768.0,2784.0,0.0,0.0,0.0,0.0,7780.0,-7736.0,2220.0,-2208.0
2013-01-28,2776.0,-2764.0,0.0,0.0,0.0,0.0,-2084.0,2088.0,-2360.0,2384.0,-2760.0,2784.0,0.0,0.0,0.0,0.0,8144.0,-8104.0,2172.0,-2168.0
2013-01-29,2744.0,-2732.0,0.0,0.0,0.0,0.0,-2052.0,2056.0,-2340.0,2364.0,-2716.0,2744.0,0.0,0.0,0.0,0.0,8300.0,-8220.0,2144.0,-2144.0
