,净值,杠杆倍数,每日PnL,资金占用比例
2013-01-04,1.0,0.0,0.0,0.0
2013-01-07,1.0,0.0,0.0,0.0
2013-01-08,0.9957386,1.00002525,-426140.0,0.0703013496714901
2013-01-09,0.992195,0.99991235,-354360.0,0.07054446404184661
2013-01-10,0.99087585,1.0003932,-131915.0,0.07067234911417006
2013-01-11,0.99158385,0.9997382,70800.0,0.07057564925043909
2013-01-14,0.99005885,0.9995289,-152500.0,0.07066955969334551
2013-01-15,0.98848765,1.0004739,-157120.0,0.07084880928962543
2013-01-16,0.98938135,0.9999756,89370.0,0.07074955678111378
2013-01-17,0.99350475,1.0008018,412340.0,0.07051413292186073
2013-01-18,0.99846725,1.000153,496250.0,0.07011818364598339
2013-01-21,0.9991436,1.0004126,67635.0,0.07008890613921763
2013-01-22,0.99672645,0.9998414,-241715.0,0.07021876263040878
2013-01-23,0.99328745,0.9999749,-343900.0,0.0704712850242898
2013-01-24,0.9944611,0.9997381,117365.0,0.07037144741005959
2013-01-25,0.99333805,0.9998258,-112305.0,0.07045718826536446
2013-01-28,0.9988531,1.00009425,551505.0,0.07008698025765751
2013-01-29,1.00159185,1.0004337,273875.0,0.06991905834697038
2013-01-30,0.9983463,1.00060725,-324555.0,0.07015852865884314
2013-01-31,0.9995756,0.9992851,122930.0,0.06997965636616181
2013-02-01,1.00088955,0.99986895,131395.0,0.06992862149474935
2013-02-04,1.00551135,0.9996942,462180.0,0.06959503142356374
2013-02-05,1.00808605,1.000623,257470.0,0.06948177687807505
2013-02-06,1.0114784,0.999771,339235.0,0.06918978200621982
2013-02-07,1.031285,1.00062455,1980660.0,0.06791887645025382
2013-02-08,1.03298935,1.0011097,170435.0,0.06783969166768274
2013-02-18,1.02895015,1.0002407,-403920.0,0.06804688157147361
2013-02-19,1.02579985,0.99991325,-315030.0,0.06823351309712125
2013-02-20,1.029489,0.9995754,368915.0,0.06796602780602805
2013-02-21,1.02885485,1.0003987,-63415.0,0.06806393438296958
2013-02-22,1.0252824,0.99974765,-357245.0,0.06825664373054684
