,close,close_dt,commodity,contract,count,direction,holding_period,multiplier,open,open_dt,pnl,rtn,tcost,tcost_mode,tcost_unit,volume
0,2938.0,2014-09-29,HC,HC.SHF_MC_LastMonthEnd,1,-1.0,14,10,3002.0,2014-09-16,13440.0,0.021319120586275817,0,,,21.0
1,2938.0,2014-09-29,HC,HC.SHF_MC_LastMonthEnd,2,-1.0,12,10,2960.0,2014-09-18,1100.0,0.007432432432432433,0,,,5.0
2,2896.0,2014-09-26,HC,HC.SHF_MC_LastMonthEnd,3,-1.0,8,10,2936.0,2014-09-19,1600.0,0.013623978201634877,0,,,4.0
3,2900.0,2014-09-23,HC,HC.SHF_MC_LastMonthEnd,4,-1.0,2,10,2862.0,2014-09-22,-3420.0,-0.013277428371767994,0,,,9.0
4,2904.0,2014-09-24,HC,HC.SHF_MC_LastMonthEnd,5,-1.0,3,10,2862.0,2014-09-22,-4200.0,-0.014675052410901468,0,,,10.0
5,2896.0,2014-09-26,HC,HC.SHF_MC_LastMonthEnd,6,-1.0,5,10,2862.0,2014-09-22,-2720.0,-0.011879804332634521,0,,,8.0
6,2938.0,2014-09-29,HC,HC.SHF_MC_LastMonthEnd,7,-1.0,11,10,2936.0,2014-09-19,-360.0,-0.0006811989100817438,0,,,18.0
7,2782.0,2014-10-09,HC,HC.SHF_MC_LastMonthEnd,8,-1.0,24,10,3002.0,2014-09-16,3667400.0,0.07328447701532312,0,,,1667.0
8,2782.0,2014-10-09,HC,HC.SHF_MC_LastMonthEnd,9,-1.0,2,10,2828.0,2014-10-08,63020.0,0.016265912305516265,0,,,137.0
9,2980.0,2014-12-18,HC,HC.SHF_MC_LastMonthEnd,10,-1.0,2,10,2988.0,2014-12-17,104480.0,0.002677376171352075,0,,,1306.0
10,2982.0,2014-12-19,HC,HC.SHF_MC_LastMonthEnd,11,-1.0,3,10,2988.0,2014-12-17,60.0,0.002008032128514056,0,,,1.0
11,2882.0,2015-01-06,HC,HC.SHF_MC_LastMonthEnd,12,-1.0,21,10,2988.0,2014-12-17,393260.0,0.03547523427041499,0,,,371.0
12,2956.0,2014-12-29,HC,HC.SHF_MC_LastMonthEnd,13,-1.0,8,10,2994.0,2014-12-22,380.0,0.012692050768203072,0,,,1.0
13,2908.0,2014-12-24,HC,HC.SHF_MC_LastMonthEnd,14,-1.0,2,10,2956.0,2014-12-23,1920.0,0.016238159675236806,0,,,4.0
14,2956.0,2014-12-29,HC,HC.SHF_MC_LastMonthEnd,15,-1.0,7,10,2956.0,2014-12-23,-0.0,-0.0,0,,,2.0
15,2998.0,2014-12-30,HC,HC.SHF_MC_LastMonthEnd,16,-1.0,9,10,2994.0,2014-12-22,-80.0,-0.0013360053440213762,0,,,2.0
16,2882.0,2015-01-06,HC,HC.SHF_MC_LastMonthEnd,17,-1.0,7,10,2998.0,2014-12-31,3480.0,0.038692461641094064,0,,,3.0
17,2882.0,2015-01-06,HC,HC.SHF_MC_LastMonthEnd,18,-1.0,2,10,2928.0,2015-01-05,4140.0,0.015710382513661202,0,,,9.0
18,2352.0,2015-04-17,HC,HC.SHF_MC_LastMonthEnd,19,-1.0,2,10,2318.0,2015-04-16,-340.0,-0.014667817083692839,0,,,1.0
19,2320.0,2015-04-22,HC,HC.SHF_MC_LastMonthEnd,20,-1.0,7,10,2318.0,2015-04-16,-60.0,-0.0008628127696289905,0,,,3.0
20,2312.0,2015-04-21,HC,HC.SHF_MC_LastMonthEnd,21,-1.0,2,10,2330.0,2015-04-20,360.0,0.007725321888412017,0,,,2.0
21,2320.0,2015-04-22,HC,HC.SHF_MC_LastMonthEnd,22,-1.0,3,10,2330.0,2015-04-20,400.0,0.004291845493562232,0,,,4.0
22,2374.0,2015-04-24,HC,HC.SHF_MC_LastMonthEnd,23,-1.0,9,10,2318.0,2015-04-16,-5040.0,-0.024158757549611734,0,,,9.0
23,2408.0,2015-04-27,HC,HC.SHF_MC_LastMonthEnd,24,-1.0,12,10,2318.0,2015-04-16,-2700.0,-0.03882657463330457,0,,,3.0
24,2438.0,2015-04-28,HC,HC.SHF_MC_LastMonthEnd,25,-1.0,13,10,2318.0,2015-04-16,-1200.0,-0.05176876617773943,0,,,1.0
25,2493.0,2015-05-04,HC,HC.SHF_MC_LastMonthEnd,26,-1.0,19,10,2318.0,2015-04-16,-31500.0,-0.07549611734253667,0,,,18.0
26,2373.0,2015-04-30,HC,HC.SHF_MC_LastMonthEnd,27,-1.0,2,10,2412.0,2015-04-29,780.0,0.01616915422885572,0,,,2.0
27,2493.0,2015-05-04,HC,HC.SHF_MC_LastMonthEnd,28,-1.0,6,10,2412.0,2015-04-29,-4860.0,-0.033582089552238806,0,,,6.0
28,2531.0,2015-05-05,HC,HC.SHF_MC_LastMonthEnd,29,-1.0,20,10,2318.0,2015-04-16,-935070.0,-0.09188955996548749,0,,,439.0
29,1855.0,2015-10-09,HC,HC.SHF_MC_LastMonthEnd,30,-1.0,24,10,1889.0,2015-09-16,897600.0,0.017998941238750663,0,,,2640.0
