,close,close_dt,commodity,contract,count,direction,holding_period,multiplier,open,open_dt,pnl,rtn,tcost,tcost_mode,tcost_unit,volume
0,4576.0,2016-03-04,TA,TA.CZC,1,1.0,3,5,4578.0,2016-03-02,-14610.0,-0.00043687199650502403,0,,,1461.0
1,4576.0,2016-03-04,TA,TA.CZC,2,1.0,2,5,4546.0,2016-03-03,439950.0,0.006599208095028597,0,,,2933.0
2,4796.0,2016-08-09,TA,TA.CZC,3,1.0,2,5,4778.0,2016-08-08,377370.0,0.0037672666387609877,0,,,4193.0
3,4898.0,2016-11-15,TA,TA.CZC,4,1.0,2,5,5222.0,2016-11-14,-2162700.0,-0.062045193412485634,0,,,1335.0
4,4938.0,2016-11-16,TA,TA.CZC,5,1.0,3,5,5222.0,2016-11-14,-849160.0,-0.05438529299119112,0,,,598.0
5,5652.0,2017-01-26,TA,TA.CZC,6,1.0,3,5,5564.0,2017-01-24,1579160.0,0.015815959741193385,0,,,3589.0
6,5652.0,2017-01-26,TA,TA.CZC,7,1.0,2,5,5568.0,2017-01-25,1260.0,0.015086206896551725,0,,,3.0
7,5182.0,2017-07-12,TA,TA.CZC,8,1.0,7,5,4942.0,2017-07-06,1616400.0,0.04856333468231485,0,,,1347.0
8,4948.0,2017-07-11,TA,TA.CZC,9,1.0,5,5,4972.0,2017-07-07,-120.0,-0.004827031375703942,0,,,1.0
9,4948.0,2017-07-11,TA,TA.CZC,10,1.0,2,5,4950.0,2017-07-10,-20210.0,-0.00040404040404040404,0,,,2021.0
10,5182.0,2017-07-12,TA,TA.CZC,11,1.0,6,5,4972.0,2017-07-07,708750.0,0.042236524537409496,0,,,675.0
11,5152.0,2017-10-09,TA,TA.CZC,12,-1.0,11,5,5130.0,2017-09-29,-770.0,-0.0042884990253411305,0,,,7.0
12,5140.0,2017-10-11,TA,TA.CZC,13,-1.0,13,5,5130.0,2017-09-29,-16100.0,-0.001949317738791423,0,,,322.0
13,5140.0,2017-10-11,TA,TA.CZC,14,-1.0,2,5,5140.0,2017-10-10,-0.0,-0.0,0,,,2.0
14,5128.0,2017-10-12,TA,TA.CZC,15,-1.0,14,5,5130.0,2017-09-29,9740.0,0.0003898635477582846,0,,,974.0
15,5348.0,2017-11-10,TA,TA.CZC,16,1.0,4,5,5310.0,2017-11-07,357960.0,0.007156308851224105,0,,,1884.0
16,5304.0,2017-11-09,TA,TA.CZC,17,1.0,2,5,5308.0,2017-11-08,-37500.0,-0.0007535795026375283,0,,,1875.0
17,5348.0,2017-11-10,TA,TA.CZC,18,1.0,3,5,5308.0,2017-11-08,600.0,0.007535795026375283,0,,,3.0
18,5622.0,2017-11-15,TA,TA.CZC,19,1.0,2,5,5538.0,2017-11-14,760620.0,0.015167930660888408,0,,,1811.0
19,5692.0,2018-05-30,TA,TA.CZC,20,-1.0,2,5,5690.0,2018-05-29,-11720.0,-0.000351493848857645,0,,,1172.0
20,5800.0,2018-06-29,TA,TA.CZC,21,-1.0,10,5,5562.0,2018-06-20,-474810.0,-0.042790363178712695,0,,,399.0
21,5800.0,2018-06-29,TA,TA.CZC,22,-1.0,9,5,5580.0,2018-06-21,-55000.0,-0.03942652329749104,0,,,50.0
22,5622.0,2018-06-25,TA,TA.CZC,23,-1.0,4,5,5570.0,2018-06-22,-1040.0,-0.00933572710951526,0,,,4.0
23,5800.0,2018-06-29,TA,TA.CZC,24,-1.0,8,5,5570.0,2018-06-22,-304750.0,-0.04129263913824058,0,,,265.0
24,5800.0,2018-06-29,TA,TA.CZC,25,-1.0,4,5,5626.0,2018-06-26,-153120.0,-0.030927835051546393,0,,,176.0
25,5790.0,2018-06-28,TA,TA.CZC,26,-1.0,2,5,5632.0,2018-06-27,-28440.0,-0.028053977272727272,0,,,36.0
26,5800.0,2018-06-29,TA,TA.CZC,27,-1.0,3,5,5632.0,2018-06-27,-215040.0,-0.029829545454545456,0,,,256.0
27,6882.0,2018-08-06,TA,TA.CZC,28,1.0,4,5,6652.0,2018-08-03,1152300.0,0.03457606734816596,0,,,1002.0
28,6780.0,2018-08-09,TA,TA.CZC,29,-1.0,2,5,6580.0,2018-08-08,-542000.0,-0.030395136778115502,0,,,542.0
29,6724.0,2018-08-10,TA,TA.CZC,30,-1.0,3,5,6580.0,2018-08-08,-706320.0,-0.02188449848024316,0,,,981.0
30,3476.0,2016-02-22,AG,AG.SHF,1,1.0,7,15,3464.0,2016-02-16,345780.0,0.003464203233256351,0,,,1921.0
