,净值,杠杆倍数,每日PnL,资金占用比例
2013-01-04,1.0,0.0,0.0,0.0
2013-01-07,1.0,0.0,0.0,0.0
2013-01-08,1.0,0.0,0.0,0.0
2013-01-09,1.0,0.0,0.0,0.0
2013-01-10,1.0,0.0,0.0,0.0
2013-01-11,1.0,0.0,0.0,0.0
2013-01-14,0.99603,0.97143,-3970.0,0.06827113641155387
2013-01-15,0.996775,0.936825,745.0,0.0657899225000627
2013-01-16,0.99519,0.9313,-1585.0,0.06550608426531616
2013-01-17,0.99075,0.96521,-4440.0,0.06819550845319203
2013-01-18,0.988515,0.95062,-2235.0,0.06731653035108218
2013-01-21,0.98998,0.94272,1465.0,0.06665831632962281
2013-01-22,0.99247,0.948395,2490.0,0.06689134180378248
2013-01-23,0.98911,0.91876,-3360.0,0.06502128175834843
2013-01-24,0.984615,0.916335,-4495.0,0.06514571685379565
2013-01-25,0.985555,0.96786,940.0,0.06874319545839654
2013-01-28,0.97875,0.961885,-6805.0,0.06879381864623245
2013-01-29,0.98031,0.94234,1560.0,0.06728871479429976
2013-01-30,0.97747,0.931695,-2840.0,0.06672189427808527
2013-01-31,0.975175,0.96223,-2295.0,0.06907078216730331
2013-02-01,0.97412,0.954355,-1055.0,0.06857969244035643
2013-02-04,0.9746049999999999,0.921065,485.0,0.06615454466168345
2013-02-05,0.97632,0.91755,1715.0,0.06578632005899705
2013-02-06,0.976735,0.915535,415.0,0.06561395875032634
2013-02-07,0.977265,0.915565,530.0,0.06558052319483457
2013-02-08,0.97646,0.94722,-805.0,0.06790385678880856
2013-02-18,0.9717,0.93978,-4760.0,0.0677005248533498
2013-02-19,0.97274,0.9379,1040.0,0.06749285523366984
2013-02-20,0.96846,0.93766,-4280.0,0.06777378518472627
2013-02-21,0.96506,0.91364,-3400.0,0.06627028371292977
2013-02-22,0.965175,0.9803,115.0,0.07109695133006967
2013-02-25,0.96255,0.963485,-2625.0,0.07006799646771596
2013-02-26,0.9652499999999999,0.951585,2700.0,0.0690090132090132
2013-02-27,0.958635,0.95465,-6615.0,0.06970901333667141
