,净值,杠杆倍数,每日PnL,资金占用比例
2013-01-04,1.0,0.0,0.0,0.0
2013-01-07,1.0,0.0,0.0,0.0
2013-01-08,1.0,0.0,0.0,0.0
2013-01-09,1.0,0.0,0.0,0.0
2013-01-10,1.0,0.0,0.0,0.0
2013-01-11,1.0,0.0,0.0,0.0
2013-01-14,1.0,0.0,0.0,0.0
2013-01-15,1.0,0.0,0.0,0.0
2013-01-16,1.0,0.0,0.0,0.0
2013-01-17,1.0,0.0,0.0,0.0
2013-01-18,1.0,0.0,0.0,0.0
2013-01-21,1.0,0.0,0.0,0.0
2013-01-22,1.0,0.0,0.0,0.0
2013-01-23,1.0,0.0,0.0,0.0
2013-01-24,1.0,0.0,0.0,0.0
2013-01-25,1.0,0.0,0.0,0.0
2013-01-28,1.0,0.0,0.0,0.0
2013-01-29,1.0,0.0,0.0,0.0
2013-01-30,1.0,0.0,0.0,0.0
2013-01-31,1.0,0.0,0.0,0.0
2013-02-01,1.0,0.0,0.0,0.0
2013-02-04,1.0,0.0,0.0,0.0
2013-02-05,1.0,0.0,0.0,0.0
2013-02-06,1.0,0.0,0.0,0.0
2013-02-07,1.0,0.0,0.0,0.0
2013-02-08,1.0,0.0,0.0,0.0
2013-02-18,1.0,0.0,0.0,0.0
2013-02-19,1.0,0.0,0.0,0.0
2013-02-20,1.0,0.0,0.0,0.0
2013-02-21,1.0,0.0,0.0,0.0
2013-02-22,1.0,0.0,0.0,0.0
2013-02-25,1.0,0.0,0.0,0.0
2013-02-26,1.0,0.0,0.0,0.0
2013-02-27,0.996953216,1.0216,-3046.784,0.07173054748438669
2013-02-28,0.983883944,0.957155,-13069.272,0.06809832644245285
2013-03-01,0.995788944,0.94525,11905.0,0.06644731335759839
2013-03-04,1.017958944,0.92308,22170.0,0.06347564445585342
2013-03-05,1.008918944,0.93212,-9040.0,0.06467159764223836
2013-03-06,1.010213944,0.930825,1295.0,0.06449896122202012
2013-03-07,1.020973944,0.920065,10760.0,0.06308148251822576
2013-03-08,1.022958944,0.91808,1985.0,0.06282324464431292
